"exchange"	"symbol"	"x"
"1"	"D"	"AAU"	2500
"2"	"Z"	"AAU"	400
"17"	"D"	"ACU"	100
"32"	"D"	"ADK"	1676
"33"	"K"	"ADK"	100
"34"	"P"	"ADK"	100
"45"	"D"	"AE"	200
"58"	"D"	"AGX"	200
"59"	"P"	"AGX"	100
"74"	"B"	"AKG"	300
"75"	"D"	"AKG"	3500
"76"	"J"	"AKG"	200
"77"	"P"	"AKG"	500
"78"	"Q"	"AKG"	400
"79"	"X"	"AKG"	900
"80"	"Z"	"AKG"	400
"108"	"D"	"AMPE"	2300
"109"	"K"	"AMPE"	800
"110"	"Q"	"AMPE"	700
"111"	"Z"	"AMPE"	400
"132"	"A"	"ANV"	2100
"133"	"B"	"ANV"	3400
"134"	"C"	"ANV"	900
"135"	"D"	"ANV"	26684
"136"	"J"	"ANV"	1800
"137"	"K"	"ANV"	1700
"138"	"P"	"ANV"	1900
"139"	"Q"	"ANV"	26205
"140"	"X"	"ANV"	500
"141"	"Y"	"ANV"	200
"142"	"Z"	"ANV"	4300
"169"	"D"	"APP"	10045
"170"	"Q"	"APP"	200
"171"	"Z"	"APP"	2600
"193"	"A"	"APT"	100
"194"	"D"	"APT"	700
"195"	"Q"	"APT"	100
"205"	"A"	"APTS"	100
"232"	"D"	"AUMN"	2800
"233"	"P"	"AUMN"	100
"234"	"Q"	"AUMN"	2200
"235"	"Y"	"AUMN"	100
"254"	"D"	"AVL"	6400
"270"	"A"	"AXU"	600
"271"	"C"	"AXU"	100
"272"	"D"	"AXU"	5500
"273"	"K"	"AXU"	100
"274"	"P"	"AXU"	200
"275"	"Q"	"AXU"	900
"276"	"Z"	"AXU"	1600
"301"	"Z"	"AZC"	400
"316"	"B"	"BAA"	100
"317"	"D"	"BAA"	34840
"318"	"J"	"BAA"	1000
"319"	"K"	"BAA"	5800
"320"	"Z"	"BAA"	500
"345"	"D"	"BFY"	100
"356"	"A"	"BHV"	500
"399"	"A"	"BRD"	100
"400"	"D"	"BRD"	8765
"401"	"Q"	"BRD"	500
"415"	"A"	"BTI"	200
"416"	"B"	"BTI"	100
"417"	"D"	"BTI"	1320
"418"	"K"	"BTI"	100
"419"	"P"	"BTI"	500
"420"	"Q"	"BTI"	709
"421"	"W"	"BTI"	200
"422"	"Z"	"BTI"	450
"444"	"D"	"BTN"	700
"457"	"D"	"BTX"	1000
"458"	"P"	"BTX"	100
"459"	"Q"	"BTX"	400
"460"	"Z"	"BTX"	100
"487"	"A"	"BXE"	100
"488"	"P"	"BXE"	200
"489"	"Q"	"BXE"	100
"490"	"Z"	"BXE"	100
"506"	"A"	"CAK"	505
"507"	"Z"	"CAK"	100
"514"	"D"	"CAW"	1800
"525"	"A"	"CDY"	100
"528"	"D"	"CEF"	19195
"529"	"K"	"CEF"	200
"530"	"P"	"CEF"	2800
"531"	"Q"	"CEF"	4298
"532"	"X"	"CEF"	300
"533"	"Z"	"CEF"	4300
"571"	"D"	"CFD"	300
"580"	"A"	"CFP"	500
"581"	"D"	"CFP"	5850
"582"	"K"	"CFP"	100
"583"	"Q"	"CFP"	1500
"607"	"D"	"CH"	130
"612"	"D"	"CHGS"	1000
"614"	"D"	"CIK"	2200
"629"	"D"	"CLM"	3673
"643"	"P"	"CMT"	100
"650"	"D"	"CNR"	250
"656"	"B"	"CQP"	300
"657"	"D"	"CQP"	2950
"658"	"J"	"CQP"	100
"659"	"K"	"CQP"	100
"660"	"P"	"CQP"	100
"661"	"X"	"CQP"	500
"711"	"D"	"CTO"	100
"717"	"A"	"CUR"	1800
"718"	"D"	"CUR"	2700
"719"	"J"	"CUR"	300
"720"	"K"	"CUR"	3000
"721"	"Q"	"CUR"	500
"738"	"A"	"CVM"	100
"739"	"D"	"CVM"	7900
"740"	"K"	"CVM"	1400
"778"	"D"	"DHY"	9391
"779"	"P"	"DHY"	1800
"804"	"D"	"DMF"	1000
"813"	"D"	"DNN"	1648
"814"	"K"	"DNN"	300
"837"	"A"	"DSS"	100
"838"	"D"	"DSS"	3000
"839"	"P"	"DSS"	100
"858"	"D"	"EAD"	2875
"859"	"J"	"EAD"	100
"860"	"P"	"EAD"	2500
"882"	"D"	"ECF"	400
"904"	"D"	"EIM"	885
"905"	"J"	"EIM"	1115
"906"	"K"	"EIM"	285
"907"	"Y"	"EIM"	400
"928"	"D"	"EMAN"	2650
"945"	"D"	"EMXX"	200
"946"	"Z"	"EMXX"	600
"968"	"K"	"EOX"	100
"1006"	"D"	"ERC"	2523
"1007"	"K"	"ERC"	200
"1008"	"P"	"ERC"	100
"1009"	"Q"	"ERC"	1200
"1010"	"Z"	"ERC"	100
"1040"	"A"	"ETAK"	1600
"1095"	"A"	"EVV"	300
"1096"	"D"	"EVV"	4150
"1097"	"J"	"EVV"	1200
"1098"	"K"	"EVV"	1200
"1099"	"Q"	"EVV"	200
"1100"	"Z"	"EVV"	800
"1127"	"A"	"FAX"	100
"1128"	"D"	"FAX"	9435
"1129"	"P"	"FAX"	1700
"1130"	"Q"	"FAX"	3915
"1155"	"P"	"FEN"	1100
"1193"	"A"	"FSP"	295
"1194"	"D"	"FSP"	100
"1195"	"P"	"FSP"	100
"1196"	"Q"	"FSP"	300
"1218"	"A"	"FTF"	100
"1219"	"P"	"FTF"	600
"1220"	"Y"	"FTF"	100
"1221"	"Z"	"FTF"	200
"1232"	"A"	"FU"	200
"1233"	"D"	"FU"	600
"1234"	"P"	"FU"	200
"1246"	"A"	"GGN"	1931
"1247"	"D"	"GGN"	32603
"1248"	"J"	"GGN"	600
