Stock;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
A;0;1100;100;9472;300;1300;0;22817;3098;9521;0;0;100;2700
AA;0;5137;1955;134718;6658;8009;0;10243;7257;25387;3700;5300;1900;13500
AAN;0;1200;0;6215;0;400;0;900;400;700;0;100;1200;800
AAON;0;0;0;500;0;0;0;0;0;0;0;0;0;0
AAP;0;600;100;3500;0;0;0;3331;1290;800;100;0;100;1300
AAPL;0;19900;500;483614;15500;36476;0;0;62996;63166;200;0;4600;41269
AAT;0;0;0;1200;0;0;0;0;100;0;0;0;0;0
AAU;0;0;0;2500;0;0;0;0;0;0;0;0;0;400
AAV;0;0;100;1800;0;100;0;0;100;900;100;0;0;200
AAWW;0;0;0;1500;0;0;0;0;500;500;0;0;0;0
AAXJ;0;200;100;1799;100;100;0;0;1983;1058;0;0;100;5119
AB;0;100;0;3155;0;100;0;0;100;266;0;0;100;100
ABAX;0;0;0;200;8800;0;0;0;100;100;0;0;100;100
ABB;0;1800;100;14525;2500;6506;0;6492;11275;25335;300;1300;900;14308
ABBV;0;9100;152;205835;8200;15562;0;70260;21373;55557;400;100;1900;11300
ABC;0;1500;0;24900;500;1900;0;3537;2000;3846;0;0;200;800
ABCO;0;0;0;200;100;0;0;0;100;200;0;0;100;0
ABFS;0;0;0;3000;200;13837;0;0;100;1300;0;0;0;0
ABG;0;0;0;775;0;200;0;0;0;0;0;0;0;100
ABIO;0;0;0;21235;0;3619;0;0;1542;320;0;0;0;0
ABM;0;0;0;0;0;0;0;500;0;0;0;0;0;0
ABMD;0;0;0;900;0;0;0;0;0;200;0;0;0;0
ABR;0;100;0;1900;100;0;0;100;0;100;0;0;0;0
ABT;0;500;0;44636;300;1230;0;28866;3700;10374;0;0;0;1600
ABTL;0;0;0;2900;0;0;0;0;0;1600;0;0;0;0
ABV;0;3400;0;16217;1300;1300;0;22102;1497;1525;0;500;200;2300
ABX;0;11709;0;481392;15614;51464;0;48239;49917;91384;4000;3500;3000;44185
ACAD;0;1500;0;185981;4100;26970;0;0;20644;58871;200;0;2782;14419
ACAS;400;200;0;15423;1002;2275;0;0;4100;16205;0;0;1200;3600
ACAT;0;100;0;1200;100;100;0;0;0;150;0;0;0;0
ACC;0;200;0;700;0;100;0;900;200;900;100;0;300;200
ACCL;0;0;0;11300;0;1800;0;0;1124;1900;0;0;0;100
ACCO;0;0;200;4405;0;0;0;100;0;400;0;0;0;300
ACE;0;800;0;31650;200;4477;0;6134;2100;2600;100;0;1000;1000
ACG;0;0;0;8940;0;0;0;800;494;0;0;0;0;0
ACGL;0;0;0;1200;200;0;0;0;200;900;0;0;0;0
ACH;0;0;0;200;0;0;0;0;0;0;0;0;0;100
ACHC;0;0;0;1700;0;0;0;0;200;100;0;0;300;0
ACHN;0;200;200;138100;1000;200;0;0;4279;3071;0;0;200;100
ACI;0;15711;2013;717179;6100;40380;0;62786;82807;63116;1200;2000;4244;60737
ACLS;0;0;0;0;0;100;0;0;0;0;0;0;0;100
ACM;0;100;0;5757;0;0;0;1300;300;200;0;0;300;0
ACMP;0;0;0;225;0;0;0;0;100;0;0;0;0;0
ACN;0;4830;0;41742;700;2300;0;3726;4299;5931;200;300;1000;1200
ACO;0;0;0;0;0;0;0;100;0;0;0;0;0;0
ACOR;0;100;0;1305;300;0;0;0;1400;700;100;0;0;810
ACP;0;0;0;200;0;400;0;200;200;0;0;0;0;0
ACPW;0;0;0;500;0;0;0;0;0;0;0;0;0;0
ACRE;0;0;0;1100;0;0;0;500;2313;0;0;0;0;0
ACRX;0;0;0;400;0;400;0;0;0;400;0;0;200;0
ACT;0;200;100;6867;0;600;0;2006;7410;901;100;100;100;600
ACTG;0;3400;900;61947;1300;7876;0;0;8635;16941;300;0;1300;8131
ACTS;0;0;0;2400;0;180;0;0;0;1550;0;0;0;0
ACTV;0;0;0;2100;0;0;0;1200;0;200;0;0;0;200
ACU;0;0;0;100;0;0;0;0;0;0;0;0;0;0
ACUR;0;200;0;22896;0;170;0;0;300;7341;0;0;100;600
ACW;0;0;0;100;0;0;0;200;200;200;0;0;0;0
ACWI;0;2300;0;23234;600;0;0;0;3399;2100;0;0;100;3500
ACWV;0;0;0;1000;0;0;0;0;300;0;0;0;0;0
ACWX;0;0;0;600;0;0;0;0;0;1100;0;0;0;1000
ACXM;0;0;0;27700;0;0;0;0;0;300;0;0;0;0
ADAT;0;0;0;500;0;0;0;0;0;0;0;0;0;0
ADBE;0;400;0;7825;400;2956;0;0;3202;10916;0;0;800;1900
ADC;0;100;0;5260;0;0;0;0;0;0;0;0;0;100
ADEP;0;0;0;1620;0;100;0;0;0;850;0;0;0;0
ADES;0;0;0;300;0;0;0;0;200;0;0;0;0;100
ADI;0;300;0;19321;1700;2100;0;0;2100;12650;100;0;200;2600
ADK;0;0;0;1676;0;100;0;0;100;0;0;0;0;0
ADM;0;2100;0;6682;1200;600;0;5231;700;4240;200;400;200;3500
ADNC;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ADP;0;100;0;4916;400;600;0;0;600;4512;0;0;100;900
ADRE;0;0;0;0;0;0;0;0;0;0;0;0;0;283
ADS;0;200;100;18718;0;200;0;3462;2600;1500;0;100;400;300
ADSK;0;200;100;8848;300;2120;0;0;3483;7299;0;0;100;3400
ADT;0;600;500;4000;200;725;0;600;800;3800;100;0;300;100
ADTN;0;0;0;2400;100;600;0;0;200;2100;0;0;0;100
ADUS;0;0;0;3250;0;0;0;0;0;0;0;0;100;0
ADVS;0;0;0;0;0;100;0;0;0;0;0;0;0;0
ADX;0;0;0;650;0;0;0;300;0;0;0;0;0;0
AE;0;0;0;200;0;0;0;0;0;0;0;0;0;0
AEB;0;0;0;0;0;0;0;200;0;0;0;0;0;500
AEC;0;0;0;200;0;100;0;500;0;0;0;0;0;400
AED;0;0;0;585;0;0;0;0;0;0;0;0;0;0
AEE;0;200;0;6979;202;0;0;2700;200;200;100;0;0;700
AEF;0;0;0;100;0;0;0;800;600;100;200;0;0;200
AEG;0;400;0;12010;0;900;0;1160;0;200;100;0;100;0
AEGN;0;0;0;0;0;0;0;0;0;0;0;0;0;100
AEGR;0;200;0;2000;0;0;0;0;0;200;0;0;200;400
AEH;0;0;0;14125;0;1100;0;6732;1800;300;0;0;0;300
AEIS;0;7700;100;2800;0;10300;0;0;2522;3700;0;0;400;2500
AEL;0;0;0;1869;0;0;0;4600;400;200;0;0;0;100
AEM;0;1700;0;18100;300;800;0;5490;2300;3200;100;0;100;2000
AEO;0;7800;0;18800;1500;1800;0;7771;5300;3874;100;0;1000;2300
AEP;0;800;200;13842;200;500;0;7721;2500;6604;0;300;100;3200
AERL;0;0;0;1400;100;0;0;0;500;0;0;0;0;0
AES;0;2050;0;15894;4302;900;0;6377;1500;7600;100;300;100;4150
AET;0;3000;0;33148;300;100;0;3400;1300;5534;0;0;800;1300
AETI;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AEV;0;0;0;225;0;0;0;1700;0;0;0;0;0;0
AEZS;0;0;0;300;0;0;0;0;100;0;0;0;0;0
AF;0;0;0;7900;100;0;0;400;0;200;0;0;0;400
AFAM;0;0;0;300;0;100;0;0;900;100;0;0;0;300
AFB;0;0;0;100;0;0;0;100;0;0;0;0;0;0
AFC;0;0;0;100;0;0;0;0;0;0;0;0;0;0
AFCE;0;0;0;300;0;100;0;0;0;200;0;0;0;0
AFFX;0;100;0;10206;100;300;0;0;200;900;0;0;0;400
AFG;0;0;0;200;0;0;0;700;0;0;200;0;0;0
AFK;0;0;0;450;0;0;0;0;0;0;0;0;0;0
AFL;0;2497;0;8544;100;1150;0;7167;1970;7121;300;0;0;2096
AFOP;0;0;0;970;0;0;0;0;100;0;0;0;0;0
AFQ;0;0;0;100;0;0;0;400;875;0;0;0;0;0
AFSD;0;0;0;415;0;0;0;0;0;0;0;0;0;0
AFSI;0;200;0;19619;300;400;0;0;9880;4200;0;0;0;400
AG;0;400;0;15265;0;100;0;1200;2700;10799;0;0;0;4120
AGC;0;0;0;100;0;0;0;300;0;0;0;0;0;0
AGCO;0;100;0;1755;0;1500;0;1300;300;1202;0;0;0;700
AGD;0;0;0;5805;0;300;0;1603;100;0;0;0;0;0
AGEM;0;0;0;497;0;0;0;0;0;0;0;0;0;0
AGEN;0;0;0;300;0;0;0;0;0;0;0;0;0;0
AGG;0;100;0;14829;0;400;0;0;18147;955;0;0;200;1100
AGI;0;0;0;0;0;0;0;246;0;200;0;0;0;300
AGII;0;0;0;0;0;100;0;0;0;200;0;0;0;0
AGIIL;0;0;0;1000;0;0;0;0;0;0;0;0;0;0
AGM;0;0;0;0;0;0;0;100;0;100;0;0;0;100
AGN;0;400;0;7208;0;800;0;47482;1900;1822;400;0;100;200
AGNC;0;2800;0;85414;200;2400;0;0;2400;5787;300;0;100;1593
AGNCP;0;0;0;0;0;0;0;0;0;100;0;0;0;0
AGO;0;200;0;5100;100;1500;0;3400;1600;3200;0;0;200;1700
AGQ;0;0;0;33506;200;711;0;0;10381;4582;0;0;0;900
AGRO;0;0;0;27800;0;0;0;0;0;0;0;0;0;0
AGU;0;200;0;8280;0;400;0;1400;481;1600;200;0;100;400
AGX;0;0;0;200;0;0;0;0;100;0;0;0;0;0
AGYS;0;0;0;5307;0;200;0;0;0;100;0;0;100;100
AGZ;0;0;0;0;0;0;0;0;160;0;0;0;0;0
AH;0;0;0;400;0;0;0;0;300;0;0;0;0;0
AHC;0;0;0;100;0;0;0;0;100;0;0;0;0;0
AHL;0;400;0;2550;0;0;0;1979;100;200;100;100;0;100
AHS;0;100;0;300;0;400;0;800;900;100;0;0;0;300
AHT;0;0;0;144;0;200;0;200;100;0;0;0;100;400
AI;0;0;0;1816;0;0;0;700;0;0;100;0;0;0
AIA;0;0;0;510;0;0;0;0;228;0;0;0;0;0
AIB;0;0;0;0;0;0;0;400;0;0;0;0;0;0
AIG;0;12330;1850;645005;17664;49707;0;131887;71403;179285;1900;9200;22400;59789
AIMC;0;0;0;800;0;0;0;0;0;0;0;0;0;0
AIN;0;0;0;200;0;0;0;100;200;0;0;0;0;0
AINV;0;0;0;2700;2000;200;0;0;0;1290;0;0;0;700
AIR;0;200;0;300;0;220;0;500;400;300;200;0;0;200
AIRM;0;100;0;27700;0;400;0;0;205;3787;0;0;0;100
AIT;0;0;0;200;0;0;0;200;0;0;0;0;0;100
AIV;0;500;0;4300;0;0;0;2900;400;700;0;0;300;300
AIXG;0;2100;0;19262;1000;4400;0;0;4597;4200;0;0;1700;3433
AIZ;0;0;0;4666;133;100;0;800;0;300;0;0;0;300
AJG;0;1300;0;1225;100;300;0;1000;1700;1600;0;100;100;900
AKAM;0;1300;0;24454;1300;900;0;0;1713;9659;0;0;500;6398
AKG;0;300;0;3500;200;0;0;0;500;400;0;900;0;400
AKR;0;18038;0;200;0;0;0;100;0;0;0;0;0;0
AKRX;0;200;0;650;0;300;0;0;0;200;0;0;0;100
AKS;0;1464;200;173453;500;10450;0;28326;9759;11000;400;1400;900;23600
AL;0;100;0;600;0;100;0;100;100;0;0;0;0;100
ALB;0;100;0;2934;300;400;0;900;500;1250;0;0;300;400
ALCO;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ALDW;0;100;0;7988;0;600;0;0;400;600;0;0;0;400
ALE;0;0;0;1100;0;0;0;400;0;100;0;0;0;100
ALEX;0;0;0;21400;0;0;0;0;100;0;0;0;0;0
ALGN;0;300;0;12989;500;800;0;0;400;3089;0;0;300;1000
ALGT;0;0;0;1100;0;100;0;0;700;1300;0;0;0;0
ALJ;0;200;100;4520;0;1700;0;1000;200;200;0;0;100;600
ALK;0;200;0;7925;500;0;0;500;800;800;0;0;300;400
ALKS;0;0;0;8890;100;0;0;0;500;1064;0;0;0;600
ALL;0;500;0;19569;0;1120;0;7507;4915;3504;0;0;400;1311
ALLT;0;100;0;6370;200;100;0;0;500;1500;100;0;200;900
ALNY;0;300;0;2160;100;300;0;0;600;1700;0;300;100;800
ALOG;0;0;0;0;0;0;0;0;100;0;0;0;0;0
ALR;0;100;0;900;0;0;0;400;100;100;0;0;0;0
ALSK;0;0;0;0;0;0;0;0;0;5543;0;0;0;0
ALSN;0;0;0;400;0;100;0;400;0;400;0;0;0;0
ALTR;0;100;0;10045;700;1500;0;0;4619;3968;0;0;700;1100
ALU;0;17469;0;125758;9100;2800;0;36900;1500;4200;0;0;2300;1900
ALV;0;2900;0;13500;300;100;0;4800;6340;4340;100;0;1083;3700
ALVR;0;0;0;0;0;0;0;0;1600;0;0;0;0;0
ALXA;0;0;0;220;0;200;0;0;0;100;0;0;0;0
ALXN;0;500;0;18562;600;1200;0;0;1700;5050;100;0;300;800
AMAG;0;0;0;300;0;0;0;0;0;100;0;0;0;0
AMAP;0;0;0;2100;0;0;0;0;0;200;0;0;0;0
AMAT;200;1337;0;15151;700;2400;0;0;4032;16313;400;0;400;6148
AMBA;0;0;0;2600;0;0;0;0;0;100;0;0;0;0
AMCC;0;0;0;3800;100;787;0;0;100;400;0;0;0;400
AMCX;0;700;0;7500;0;0;0;0;0;200;0;0;0;0
AMD;0;7000;0;155116;5439;18400;0;41892;6000;8083;200;300;1900;6799
AME;0;1166;0;2811;0;6000;0;1300;600;971;0;100;200;100
AMED;0;0;0;0;0;0;0;0;0;200;0;0;0;0
AMG;0;100;0;1600;100;0;0;600;500;546;0;0;0;100
AMGN;0;1500;200;36887;1400;7636;0;0;4600;11136;100;0;1400;4204
AMID;0;0;0;300;0;0;0;0;0;0;0;0;0;0
AMJ;0;0;200;3859;0;0;0;0;100;0;0;0;0;0
AMKR;0;0;0;2700;0;0;0;0;100;100;0;0;0;300
AMLP;0;600;0;35860;7000;800;0;0;15183;2200;0;0;1400;972
AMP;0;4033;0;16995;500;900;0;14361;1700;2766;300;100;600;2400
AMPE;0;0;0;2300;0;800;0;0;0;700;0;0;0;400
AMRC;0;0;0;0;0;0;0;0;100;0;0;0;0;0
AMRE;0;0;0;300;0;0;0;0;0;0;0;0;0;0
AMRI;0;300;0;22744;500;300;0;0;100;1282;0;0;200;1200
AMRN;700;839;300;194086;2403;45671;0;0;18385;88500;0;0;900;7400
AMRS;0;0;0;100;100;100;0;0;800;305;0;0;0;322
AMSC;0;100;0;3793;0;0;0;0;378;2200;0;0;0;590
AMSF;0;0;0;0;0;0;0;0;0;100;0;0;0;0
AMSG;0;0;0;300;0;0;0;0;200;300;0;0;0;100
AMT;0;1500;0;15925;200;1066;0;3393;1917;1132;200;0;566;800
AMTD;0;0;0;4758;300;100;0;1200;200;1952;0;200;200;500
AMTG;0;0;0;1767;0;0;0;900;0;100;0;0;0;200
AMWD;0;0;0;650;0;0;0;0;0;200;0;0;0;0
AMX;0;900;0;11506;800;3700;0;10043;1500;1900;0;700;200;4168
AMZN;0;2200;300;46633;1600;3616;0;0;12742;10366;0;200;1200;4230
AN;0;100;0;400;0;300;0;1000;300;200;0;0;0;300
ANAC;0;300;0;4675;0;7104;0;0;1100;1300;100;0;11096;300
ANAD;0;0;0;200;0;0;0;0;0;0;0;0;0;0
ANAT;0;0;0;5200;0;0;0;0;0;200;0;0;0;0
ANCX;0;0;0;1100;0;0;0;0;0;0;0;0;0;0
ANDE;0;0;0;300;0;0;0;0;100;100;0;0;0;0
ANEN;0;0;0;0;0;0;0;0;0;200;0;0;0;0
ANF;0;100;0;5600;0;800;0;1374;500;300;0;0;0;1800
ANFI;0;0;0;200;0;0;0;300;200;0;0;0;0;100
ANGI;0;200;700;3831;0;100;0;0;1000;2200;0;0;300;300
ANGO;0;0;0;100;0;0;0;0;100;200;0;0;0;0
ANH;0;300;0;7300;2700;0;0;4000;900;6700;0;200;300;300
ANIK;0;0;0;800;0;0;0;0;0;200;0;0;0;0
ANLY;0;0;0;0;0;0;0;0;600;0;0;0;0;0
ANN;0;0;0;2900;0;0;0;400;418;400;0;0;0;100
ANR;0;993;1000;206849;2800;13335;0;44790;16300;100171;1000;2300;5020;17579
ANSS;0;1100;0;3000;100;200;0;0;100;500;0;0;300;0
ANTH;0;0;0;600;0;0;0;0;0;0;0;0;0;0
ANV;2100;3400;900;26684;1800;1700;0;0;1900;26205;0;500;200;4300
ANW;0;0;0;1000;0;0;0;300;200;300;0;0;0;0
AOA;0;0;0;345;0;0;0;0;0;0;0;0;0;0
AOD;0;0;0;12800;0;2000;0;0;0;0;0;0;0;1654
AOI;0;0;0;100;0;100;0;200;200;370;0;0;0;0
AOL;0;600;0;1811;0;300;0;1700;500;0;0;0;300;0
AON;0;1400;0;13938;0;600;0;1600;3300;2600;200;300;700;2000
AOR;0;1420;0;0;0;0;0;0;0;0;0;0;400;0
AOS;0;500;0;6650;0;1664;0;4000;4531;400;100;0;100;600
AOSL;0;0;0;116;0;0;0;0;0;0;0;0;0;0
AP;0;0;0;1000;0;0;0;0;0;0;0;0;0;0
APA;0;1263;0;33406;600;3100;0;8311;5694;3566;400;800;200;2300
APAM;0;100;0;700;100;0;0;0;0;460;0;0;100;100
APB;0;0;0;1190;0;0;0;0;0;0;0;0;0;0
APC;0;1100;100;17118;300;1100;0;7846;1600;10350;0;0;400;500
APD;0;2425;100;74800;2100;24180;0;11600;9533;9227;700;200;1700;4500
APEI;0;0;0;200;0;100;0;0;800;1600;0;0;100;702
APH;0;500;0;2100;0;0;0;600;400;300;0;0;0;0
APL;0;0;0;100;0;0;0;600;0;0;0;0;0;0
APO;0;1100;100;8882;100;4900;0;600;300;0;0;100;300;100
APOG;0;200;0;2844;0;0;0;0;500;200;0;0;0;1700
APOL;0;800;0;34763;3024;12100;0;0;2500;7809;0;0;200;4081
APP;0;0;0;10045;0;0;0;0;0;200;0;0;0;2600
APRI;0;0;0;23740;0;300;0;0;0;1400;0;0;100;2255
APT;100;0;0;700;0;0;0;0;0;100;0;0;0;0
APTS;100;0;0;0;0;0;0;0;0;0;0;0;0;0
APU;0;0;0;170;0;0;0;0;0;0;0;0;0;0
ARAY;0;0;0;1500;0;100;0;0;0;500;0;0;0;300
ARB;0;0;0;400;100;100;0;600;100;0;0;0;0;1300
ARC;0;0;0;6951;0;100;0;22800;1200;0;0;0;0;500
ARCC;100;200;100;43965;200;2000;0;0;3300;7100;0;0;800;1925
ARCO;0;400;0;1900;0;100;0;100;0;100;0;100;0;200
ARCP;0;500;0;6580;0;1200;0;0;1400;2900;0;0;200;1700
ARDC;0;0;0;1458;0;0;0;0;0;0;0;0;0;0
ARE;0;400;0;1000;0;0;0;1700;0;400;0;0;100;100
AREX;0;300;0;3174;0;100;0;0;900;1400;0;0;100;700
ARG;0;200;0;1500;200;600;0;200;975;400;0;0;0;100
ARI;0;0;0;700;0;400;0;700;400;600;0;0;0;100
ARIA;0;500;0;27958;1900;1200;0;0;2700;3400;0;0;700;3300
ARII;0;0;0;2500;0;100;0;0;300;265;0;0;100;0
ARK;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ARKR;0;0;0;0;0;0;0;0;100;100;0;0;0;0
ARLP;0;0;0;400;0;0;0;0;100;0;0;0;0;0
ARMH;0;4669;0;81859;2000;4902;0;0;15251;14333;600;200;1200;20485
ARNA;0;1100;0;35244;100;2090;0;0;106;3400;0;0;0;1300
ARO;0;0;100;5100;100;100;0;5695;2975;2200;100;0;0;300
AROW;0;0;0;900;0;0;0;0;0;0;0;0;100;0
ARP;0;0;0;600;0;0;0;0;100;0;0;0;0;0
ARQL;0;300;0;66564;1491;100;0;0;874;1800;0;0;800;500
ARR;0;3200;200;90785;2644;10400;0;38201;3700;8134;100;300;2077;6200
ARRS;0;0;0;2400;200;800;0;0;100;1300;0;0;0;500
ARRY;0;0;0;30620;200;2460;0;0;7895;12896;0;0;200;1300
ARSD;0;0;0;1300;0;0;0;0;0;0;0;0;0;0
ARU;0;0;0;0;0;0;0;0;250;0;0;0;0;0
ARUN;0;400;0;14613;400;2400;0;0;1200;8128;300;0;0;2700
ARW;0;400;0;4000;300;0;0;2100;400;300;0;0;100;100
ARX;0;0;0;0;0;0;0;100;0;0;0;0;0;0
ASA;0;0;0;500;0;0;0;700;700;100;0;0;0;0
ASBC;0;0;0;11788;500;800;0;0;1800;970;0;0;800;3500
ASCMA;0;0;0;3800;0;0;0;0;0;0;0;0;0;0
ASEA;0;0;0;3796;0;0;0;0;0;0;0;0;0;0
ASFI;0;0;0;100;0;0;0;0;0;0;0;0;0;0
ASGN;0;0;0;2100;0;359;0;0;200;400;0;0;0;700
ASH;0;4100;900;45600;800;600;0;16047;1800;6447;300;0;1500;4500
ASI;0;0;0;200;0;0;0;0;0;100;0;0;0;0
ASIA;0;0;0;0;0;0;0;0;0;200;0;0;0;0
ASMI;0;0;0;1000;0;0;0;0;0;0;0;0;0;0
ASML;0;1700;200;9300;300;2800;0;0;10187;7199;400;0;915;1400
ASNA;0;1600;0;4500;1200;1400;0;0;800;9971;0;200;100;4200
ASP;0;0;0;995;0;0;0;100;0;0;0;0;0;0
ASR;0;100;0;1525;0;200;0;600;300;0;0;0;0;0
ASTE;0;100;0;0;0;0;0;0;0;0;0;0;0;0
ASTM;0;0;0;150;0;0;0;0;0;0;0;0;0;0
ASTX;0;0;0;6135;0;3500;0;0;300;3467;0;0;500;100
ASUR;0;0;0;950;0;0;0;0;0;0;0;0;0;0
AT;0;900;600;56522;400;7400;0;21957;600;13633;400;1600;400;6500
ATAX;0;0;0;800;0;0;0;0;0;0;0;0;0;0
ATE;0;0;0;200;0;0;0;0;0;0;0;0;0;0
ATEC;0;0;0;0;0;0;0;0;0;700;0;0;0;0
ATHN;0;0;0;500;0;800;0;0;200;600;0;0;100;0
ATHX;0;0;0;10330;100;930;0;0;800;570;0;0;100;200
ATI;0;200;100;57450;900;300;0;513;2679;2217;0;0;0;799
ATK;0;200;0;300;0;100;0;703;300;140;0;0;0;0
ATLS;0;0;0;920;0;0;0;100;0;377;0;0;100;200
ATMI;0;0;0;1660;0;0;0;0;0;0;0;0;0;0
ATML;100;0;0;50107;2300;2090;0;0;3400;12320;100;0;100;2800
ATMP;0;0;0;900;0;0;0;0;500;0;0;0;0;0
ATNI;0;0;0;200;0;0;0;0;0;0;0;0;0;100
ATO;0;0;0;5040;0;0;0;2100;1408;200;0;0;0;0
ATOS;0;0;0;1050;0;0;0;0;0;0;0;0;0;0
ATR;0;0;0;110;0;0;0;300;100;0;0;0;0;0
ATRC;0;100;0;100;0;0;0;0;0;100;0;0;100;0
ATRO;0;0;0;7250;100;0;0;0;0;200;0;0;0;0
ATRS;0;0;0;245525;0;4750;0;0;400;500;0;0;0;100
ATSG;0;0;0;0;0;0;0;0;0;100;0;0;0;0
ATU;0;1300;0;34300;0;100;0;4300;200;900;0;100;0;100
ATVI;100;0;0;21784;2000;2081;0;0;3700;8000;200;0;900;5500
ATW;0;8700;0;7481;300;200;0;1800;700;900;0;0;0;200
AU;0;3350;0;9518;3228;1961;0;10628;5007;3219;100;100;0;2600
AUDC;0;0;0;100;0;0;0;0;0;0;0;0;0;100
