,Stock,A,B,C,D,J,K,M,N,P,Q,W,X,Y,Z,
1,A,0,0.021778728,0.001979884,0.187534648,0.005939653,0.025738497,0,0.451750218,0.061336818,0.188504791,0,0,0.001979884,0.053456878,1
2,AA,0,0.022957223,0.008736884,0.60205395,0.029754563,0.035792174,0,0.045775907,0.03243149,0.113454354,0.016535278,0.023685669,0.008491089,0.060331421,1
3,AAN,0,0.100713386,0,0.521611414,0,0.033571129,0,0.07553504,0.033571129,0.058749475,0,0.008392782,0.100713386,0.067142258,1
4,AAON,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,AAP,0,0.053951983,0.008991997,0.314719899,0,0,0,0.299523424,0.115996763,0.071935977,0.008991997,0,0.008991997,0.116895963,1
6,AAPL,0,0.027326869,0.000686605,0.664103342,0.021284747,0.05008919,0,0,0.086506706,0.086740152,0.000274642,0,0.006316764,0.056670983,1
7,AAT,0,0,0,0.923076923,0,0,0,0,0.076923077,0,0,0,0,0,1
8,AAU,0,0,0,0.862068966,0,0,0,0,0,0,0,0,0,0.137931034,1
9,AAV,0,0,0.03030303,0.545454545,0,0.03030303,0,0,0.03030303,0.272727273,0.03030303,0,0,0.060606061,1
10,AAWW,0,0,0,0.6,0,0,0,0,0.2,0.2,0,0,0,0,1
11,AAXJ,0,0.018941188,0.009470594,0.170375983,0.009470594,0.009470594,0,0,0.187801875,0.100198882,0,0,0.009470594,0.484799697,1
12,AB,0,0.025503698,0,0.804641673,0,0.025503698,0,0,0.025503698,0.067839837,0,0,0.025503698,0.025503698,1
13,ABAX,0,0,0,0.021276596,0.936170213,0,0,0,0.010638298,0.010638298,0,0,0.010638298,0.010638298,1
14,ABB,0,0.021091855,0.00117177,0.170199552,0.029294243,0.076235338,0,0.07607129,0.132117036,0.29686786,0.003515309,0.015233006,0.010545928,0.167656812,1
15,ABBV,0,0.022764854,0.000380248,0.514923488,0.020513385,0.038930402,0,0.175764686,0.053467387,0.138983187,0.001000653,0.000250163,0.004753101,0.028268445,1
16,ABC,0,0.038281908,0,0.635479672,0.012760636,0.048490417,0,0.090268739,0.051042544,0.098154812,0,0,0.005104254,0.020417018,1
17,ABCO,0,0,0,0.285714286,0.142857143,0,0,0,0.142857143,0.285714286,0,0,0.142857143,0,1
18,ABFS,0,0,0,0.162716277,0.010847752,0.750501709,0,0,0.005423876,0.070510387,0,0,0,0,1
19,ABG,0,0,0,0.720930233,0,0.186046512,0,0,0,0,0,0,0,0.093023256,1
20,ABIO,0,0,0,0.794842042,0,0.135461895,0,0,0.057718221,0.011977841,0,0,0,0,1
21,ABM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
22,ABMD,0,0,0,0.818181818,0,0,0,0,0,0.181818182,0,0,0,0,1
23,ABR,0,0.043478261,0,0.826086957,0.043478261,0,0,0.043478261,0,0.043478261,0,0,0,0,1
24,ABT,0,0.005482095,0,0.489397627,0.003289257,0.013485955,0,0.316492336,0.040567507,0.113742517,0,0,0,0.017542706,1
25,ABTL,0,0,0,0.644444444,0,0,0,0,0,0.355555556,0,0,0,0,1
26,ABV,0,0.067539381,0,0.322142985,0.025823881,0.025823881,0,0.439045708,0.029737192,0.030293399,0,0.009932262,0.003972905,0.045688405,1
27,ABX,0,0.014556119,0,0.598445557,0.019410644,0.063977802,0,0.059968623,0.062054639,0.113604607,0.004972626,0.004351047,0.003729469,0.054928867,1
28,ACAD,0,0.004754855,0,0.589541854,0.012996605,0.085492302,0,0,0.065439491,0.186615399,0.000633981,0,0.008818672,0.045706841,1
29,ACAS,0.009007995,0.004503997,0,0.347325752,0.022565026,0.051232969,0,0,0.092331945,0.364936381,0,0,0.027023984,0.081071951,1
30,ACAT,0,0.060606061,0,0.727272727,0.060606061,0.060606061,0,0,0,0.090909091,0,0,0,0,1
31,ACC,0,0.055555556,0,0.194444444,0,0.027777778,0,0.25,0.055555556,0.25,0.027777778,0,0.083333333,0.055555556,1
32,ACCL,0,0,0,0.696499014,0,0.110946746,0,0,0.069280079,0.117110454,0,0,0,0.006163708,1
33,ACCO,0,0,0.037002775,0.814986124,0,0,0,0.018501388,0,0.07400555,0,0,0,0.055504163,1
34,ACE,0,0.015980504,0,0.632228681,0.003995126,0.089430894,0,0.122530513,0.041948822,0.051936637,0.001997563,0,0.01997563,0.01997563,1
35,ACG,0,0,0,0.873558726,0,0,0,0.078170803,0.048270471,0,0,0,0,0,1
36,ACGL,0,0,0,0.48,0.08,0,0,0,0.08,0.36,0,0,0,0,1
37,ACH,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0.333333333,1
38,ACHC,0,0,0,0.739130435,0,0,0,0,0.086956522,0.043478261,0,0,0.130434783,0,1
39,ACHN,0,0.001357313,0.001357313,0.937224296,0.006786563,0.001357313,0,0,0.029039701,0.020841534,0,0,0.001357313,0.000678656,1
40,ACI,0,0.014845886,0.001902156,0.677688082,0.005764108,0.038156506,0,0.059328737,0.078247295,0.059640565,0.001133923,0.001889872,0.004010307,0.057392563,1
41,ACLS,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1
42,ACM,0,0.012567551,0,0.723513887,0,0,0,0.163378158,0.037702652,0.025135101,0,0,0.037702652,0,1
43,ACMP,0,0,0,0.692307692,0,0,0,0,0.307692308,0,0,0,0,0,1
44,ACN,0,0.072929879,0,0.630277224,0.010569548,0.034728514,0,0.056260192,0.064912122,0.089554267,0.003019871,0.004529806,0.015099354,0.018119224,1
45,ACO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
46,ACOR,0,0.021208908,0,0.276776246,0.063626723,0,0,0,0.296924708,0.148462354,0.021208908,0,0,0.171792153,1
47,ACP,0,0,0,0.2,0,0.4,0,0.2,0.2,0,0,0,0,0,1
48,ACPW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,ACRE,0,0,0,0.281114235,0,0,0,0.127779198,0.591106568,0,0,0,0,0,1
50,ACRX,0,0,0,0.285714286,0,0.285714286,0,0,0,0.285714286,0,0,0.142857143,0,1
51,ACT,0,0.010535188,0.005267594,0.361725664,0,0.031605563,0,0.105667931,0.390328698,0.04746102,0.005267594,0.005267594,0.005267594,0.031605563,1
52,ACTG,0,0.030705319,0.008127879,0.559441886,0.011740269,0.071127969,0,0,0.07798248,0.152993769,0.002709293,0,0.011740269,0.073430868,1
53,ACTS,0,0,0,0.581113801,0,0.043583535,0,0,0,0.375302663,0,0,0,0,1
54,ACTV,0,0,0,0.567567568,0,0,0,0.324324324,0,0.054054054,0,0,0,0.054054054,1
55,ACU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,ACUR,0,0.006327712,0,0.724396494,0,0.005378555,0,0,0.009491568,0.232258677,0,0,0.003163856,0.018983137,1
57,ACW,0,0,0,0.142857143,0,0,0,0.285714286,0.285714286,0.285714286,0,0,0,0,1
58,ACWI,0,0.065279709,0,0.659438594,0.017029489,0,0,0,0.096472057,0.059603213,0,0,0.002838248,0.099338688,1
59,ACWV,0,0,0,0.769230769,0,0,0,0,0.230769231,0,0,0,0,0,1
60,ACWX,0,0,0,0.222222222,0,0,0,0,0,0.407407407,0,0,0,0.37037037,1
