"exchange"	"symbol"	"x"
"3"	"D"	"AAU"	2000
"4"	"K"	"AAU"	200
"5"	"Z"	"AAU"	100
"21"	"A"	"ADGE"	300
"22"	"D"	"ADGE"	800
"23"	"J"	"ADGE"	100
"24"	"K"	"ADGE"	100
"25"	"P"	"ADGE"	100
"26"	"Z"	"ADGE"	200
"35"	"K"	"ADK"	100
"36"	"Z"	"ADK"	100
"46"	"B"	"AE"	100
"47"	"P"	"AE"	100
"48"	"Q"	"AE"	400
"60"	"A"	"AGX"	1074
"61"	"B"	"AGX"	100
"62"	"D"	"AGX"	300
"63"	"P"	"AGX"	200
"64"	"Z"	"AGX"	200
"81"	"B"	"AKG"	200
"82"	"D"	"AKG"	2400
"83"	"J"	"AKG"	200
"84"	"K"	"AKG"	300
"85"	"P"	"AKG"	200
"86"	"X"	"AKG"	100
"87"	"Z"	"AKG"	300
"102"	"D"	"ALTV"	111
"112"	"B"	"AMPE"	100
"113"	"D"	"AMPE"	3842
"114"	"K"	"AMPE"	300
"115"	"P"	"AMPE"	235
"116"	"Q"	"AMPE"	1060
"125"	"P"	"AMS"	100
"126"	"Q"	"AMS"	100
"143"	"A"	"ANV"	3791
"144"	"B"	"ANV"	5800
"145"	"C"	"ANV"	100
"146"	"D"	"ANV"	34487
"147"	"J"	"ANV"	3100
"148"	"K"	"ANV"	3903
"149"	"P"	"ANV"	5600
"150"	"Q"	"ANV"	16359
"151"	"W"	"ANV"	653
"152"	"Y"	"ANV"	800
"153"	"Z"	"ANV"	3000
"172"	"A"	"APP"	500
"173"	"B"	"APP"	900
"174"	"D"	"APP"	12130
"175"	"J"	"APP"	1805
"176"	"P"	"APP"	848
"177"	"Q"	"APP"	1432
"178"	"W"	"APP"	600
"179"	"Y"	"APP"	300
"180"	"Z"	"APP"	100
"196"	"A"	"APT"	100
"197"	"P"	"APT"	500
"206"	"A"	"APTS"	600
"216"	"D"	"ASM"	740
"236"	"A"	"AUMN"	1951
"237"	"B"	"AUMN"	300
"238"	"D"	"AUMN"	1800
"239"	"J"	"AUMN"	400
"240"	"P"	"AUMN"	551
"241"	"Q"	"AUMN"	3209
"242"	"Y"	"AUMN"	600
"243"	"Z"	"AUMN"	100
"255"	"D"	"AVL"	400
