;A;B;C;D;J;K;M;N;P;Q;W;X;Y;Z
A;0;13071;0;62400;5674;5400;0;27369;6596;10823;1300;1600;2100;7081
AA;0;148911;0;423870;29350;37905;0;127052;19637;43755;14193;500;11637;63438
AAIT;0;0;0;1200;0;0;0;0;0;0;0;0;0;0
AAN;0;3700;0;72307;700;7503;0;5590;3604;1600;1800;0;800;1100
AAON;0;0;0;200;0;0;0;0;200;1200;0;0;0;300
AAP;0;862;0;4000;489;400;0;4234;1702;2049;200;0;100;2600
AAPL;0;17191;500;350666;24676;33861;0;0;67073;67532;200;100;8345;26256
AAT;0;100;0;1061;0;0;0;3165;239;100;0;0;100;327
AAU;0;0;0;2000;0;200;0;0;0;0;0;0;0;100
AAV;0;400;0;700;100;0;0;1100;0;0;0;0;100;0
AAWW;0;660;0;4664;0;500;0;0;200;1200;200;0;300;200
AAXJ;0;100;0;1242;0;0;0;0;159;0;0;0;0;360
AB;0;200;0;2100;0;100;0;200;100;100;100;0;200;400
ABAX;0;700;0;2700;537;889;0;0;500;2643;0;0;429;1200
ABB;0;8700;0;23389;3080;2600;0;16776;6700;6000;300;300;1500;10767
ABBV;0;14000;1600;144439;11258;11515;0;45739;13147;24472;1300;300;6400;13487
ABC;0;12204;0;16900;4479;1573;0;14427;1910;5229;700;900;2000;5141
ABCB;0;0;0;200;0;0;0;0;0;300;0;0;0;0
ABCD;0;0;0;1400;0;0;0;0;0;0;0;0;0;0
ABCO;0;500;0;8495;400;700;0;0;6900;5100;0;0;600;3400
ABFS;0;4324;261;11311;2300;2100;0;0;4600;1502;700;100;2100;4230
ABG;0;1600;0;5198;553;900;0;2783;1000;300;0;0;300;2100
ABI;0;0;0;100;0;0;0;0;600;0;0;0;0;0
ABIO;0;0;0;2570;0;600;0;0;100;200;0;0;0;0
ABM;0;1135;0;1800;300;300;0;3618;929;616;400;200;200;400
ABMD;0;1500;0;5900;1700;200;0;0;1300;3523;500;0;700;1300
ABR;0;1100;0;2900;400;600;0;900;481;2400;100;200;1300;500
ABT;0;26335;300;108635;4798;9486;0;77402;9141;7989;4900;600;2290;11055
ABTL;0;0;0;400;0;0;0;0;0;0;0;0;0;100
ABV;0;9371;0;29760;3000;9100;0;17775;5300;8094;3000;400;1300;5340
ABX;0;72202;200;406226;22174;22096;0;146353;39363;32589;27519;4500;11210;39971
ACAD;0;2300;0;76077;3897;1920;0;0;2300;13077;2700;100;2300;8796
ACAS;0;8051;100;33006;8628;5935;0;0;9422;46605;1200;1200;2450;16616
ACAT;0;400;0;4077;200;200;0;0;800;2694;0;0;0;700
ACC;0;2781;0;63196;1300;6139;0;20385;4550;4826;300;200;1900;4379
ACCL;0;900;0;10042;0;400;0;0;780;1199;0;0;100;3226
ACCO;0;7700;600;22843;16105;1700;0;13810;7436;4407;1000;0;9761;20272
ACE;0;8519;200;34717;2400;8437;0;31814;9078;12136;783;100;1200;16572
ACET;0;0;0;600;200;100;0;0;100;1100;0;0;0;0
ACFN;0;100;0;1362;0;0;0;0;1445;500;0;0;200;100
ACG;0;1900;0;9179;1700;4214;0;1104;700;100;700;0;1450;0
ACGL;0;1000;0;9484;800;917;0;0;1000;3400;1300;0;1000;1200
ACH;0;0;0;600;200;0;0;2034;2800;624;0;0;204;872
ACHC;0;200;0;3207;200;300;0;0;500;1471;100;0;200;0
ACHN;0;4800;100;37587;3000;4426;0;0;5884;10358;337;0;1400;5804
ACI;0;92832;100;712657;29906;45860;0;117172;78110;30414;7015;5500;24453;201055
ACIW;0;300;0;3100;500;300;0;0;700;1850;0;0;800;1422
ACLS;0;300;0;7100;2200;1434;0;0;2400;1600;0;0;200;2263
ACM;0;3379;100;11368;1000;300;0;4576;800;2200;300;0;1000;1592
ACMP;0;400;0;9400;200;640;0;1243;1000;2378;0;0;0;2160
ACN;0;3900;700;67400;3538;3577;0;42273;5000;9737;1200;100;1900;4489
ACO;0;125;0;1000;200;200;0;5835;1706;1500;0;0;0;100
ACOR;0;309;0;35346;995;1300;0;0;1840;14431;300;0;200;1500
ACP;0;0;0;265;0;0;0;2387;0;0;0;0;0;0
ACRE;0;0;0;300;0;1300;0;100;0;0;0;0;0;0
ACRX;0;1200;0;8750;1100;1900;0;0;1500;8150;0;100;400;400
ACT;0;1500;200;10735;400;2189;0;16928;4343;1400;100;0;300;2427
ACTG;0;714;0;9754;300;2600;0;0;2900;5903;500;0;2500;700
ACTS;0;429;0;1000;200;200;0;0;200;1590;0;0;200;200
ACTV;0;1500;0;12818;2000;5586;0;5250;2468;5980;1300;0;300;1903
ACUR;0;0;0;10195;0;935;0;0;200;848;0;0;0;0
ACW;0;200;0;2826;0;200;0;2534;100;300;0;0;400;460
ACWI;0;0;0;10825;730;600;0;0;5000;1500;0;0;300;2500
ACWV;0;0;0;235;0;0;0;0;0;0;0;0;0;0
ACWX;0;0;0;0;0;173;0;0;500;181;0;0;0;847
ACXM;0;600;200;2300;200;900;0;0;300;5530;0;0;200;1400
ADBE;0;2390;100;35024;5541;1500;0;0;6900;24526;1600;200;1472;9813
ADC;0;500;0;800;300;0;0;300;0;0;0;0;100;0
ADEP;0;0;0;0;0;0;0;0;1900;9400;0;0;0;0
ADES;0;100;0;800;0;100;0;0;2600;200;0;0;0;400
ADGE;300;0;0;800;100;100;0;0;100;0;0;0;0;200
ADI;0;3400;100;36014;3750;1300;0;0;3800;16442;0;0;1300;5977
ADK;0;0;0;0;0;100;0;0;0;0;0;0;0;100
ADM;0;17293;200;44873;13483;2228;0;47628;12012;16111;11597;2900;2533;13046
ADNC;0;0;100;3688;300;908;0;0;100;1206;0;0;100;100
ADP;0;3100;0;36099;800;2511;0;0;4100;14734;100;0;1459;6759
ADRA;0;0;0;200;0;0;0;0;200;100;0;0;0;0
ADRE;0;0;0;425;0;0;0;0;0;0;0;0;0;0
ADS;0;833;0;9298;0;2138;0;3567;600;400;0;100;600;400
ADSK;0;6257;0;50607;10216;8056;0;0;7142;38869;1000;0;4100;19973
ADT;0;3325;0;16634;2757;4100;0;9372;2623;7106;900;0;442;6200
ADTN;0;1700;0;11464;5600;2400;0;0;2679;16933;3000;0;6600;5200
ADUS;0;0;0;800;0;100;0;0;0;300;0;0;0;0
ADVS;0;0;0;700;100;600;0;0;0;1666;0;0;0;500
ADX;0;100;0;100;0;0;0;500;300;765;0;0;0;0
ADZ;0;0;0;173;0;0;0;0;0;0;0;0;0;0
AE;0;100;0;0;0;0;0;0;100;400;0;0;0;0
AEB;0;0;0;0;0;0;0;100;0;0;0;0;0;0
AEC;0;2200;100;5800;400;700;0;4253;11719;1113;200;0;300;1200
AED;0;700;0;2100;0;100;0;800;0;0;100;400;0;0
AEE;0;7528;300;42459;3300;4282;0;17715;6470;4176;0;2000;1200;9266
AEF;0;0;0;2600;0;0;0;400;300;0;0;0;0;700
AEG;0;9637;0;28233;12383;700;0;5378;6799;1100;3600;0;5900;6300
AEGN;0;100;0;1581;120;600;0;0;300;10260;0;0;0;400
AEGR;0;400;0;5362;100;600;0;0;600;4955;100;0;496;400
AEH;0;0;0;712;0;0;0;0;1816;0;0;0;0;0
AEHR;0;0;0;300;0;100;0;0;0;0;0;0;0;0
AEIS;0;800;0;18900;1000;3300;0;0;1600;8803;100;200;100;2037
AEK;0;0;0;100;435;0;0;200;0;0;0;0;0;0
AEL;0;3100;0;8004;2305;700;0;7436;1202;100;1600;0;700;600
AEM;0;8188;0;9460;1500;200;0;9219;3328;2447;1700;200;3100;1300
AEO;0;20241;0;63418;13101;1840;0;31683;6472;14608;1800;0;1717;7800
AEP;0;5916;0;33402;2719;1680;0;11993;1700;6278;2100;400;600;7894
AEPI;0;0;0;200;0;0;0;0;200;500;0;0;0;0
