"","A","B","C","D","J","K","M","N","P","Q","W","X","Y","Z"
"A",0,32902,600,865680,16400,50455,0,187562,61548,154657,3400,6300,7300,63246
"AA",0,540371,6462,4461975,438978,334986,0,843413,271548,527228,408690,40800,134212,476784
"AAIT",0,0,0,500,0,0,0,0,0,0,0,0,0,0
"AAME",0,0,0,995,0,500,0,0,421,1100,0,0,0,0
"AAN",0,17832,200,379208,2726,24700,0,38157,35350,26108,4800,1300,1500,31245
"AAON",0,100,0,8675,400,400,0,0,1100,3700,0,0,100,400
"AAP",0,22143,100,136412,6200,19021,0,44761,34020,29668,700,2300,3772,20825
"AAPL",0,167157,6011,5751322,126654,495337,3250,0,498601,815790,2246,500,51829,343639
"AAT",0,1200,100,27690,500,2717,0,5500,4814,900,100,304,809,2000
"AAU",800,1900,550,47068,700,8000,0,0,1300,1000,700,0,500,2200
"AAV",0,7155,0,17190,1900,3200,0,14500,6153,5300,100,500,1800,5400
"AAWW",0,15362,100,64508,1300,11222,0,0,6701,17606,1600,300,1500,6316
"AAXJ",0,1300,0,49664,500,4300,0,0,38516,24463,0,0,800,19941
"AB",0,4000,100,81147,700,20334,0,6345,4800,6353,700,800,1400,3196
"ABAX",0,4100,0,41805,12200,4300,0,0,4144,10978,700,200,800,5700
"ABB",0,47742,700,295899,28776,47275,0,133560,60728,89352,7999,14400,17049,103955
"ABBV",0,52218,8848,2839911,64529,193201,0,197064,196264,367661,9000,2200,47561,159263
"ABC",0,23723,400,476655,17304,58502,0,131563,58824,114755,5400,18700,9403,112269
"ABCB",0,0,0,4488,100,4597,0,0,800,600,0,0,100,600
"ABCD",0,0,0,2500,0,0,0,0,0,100,0,0,0,0
"ABCO",0,24400,200,60047,1700,4000,0,0,6022,18625,200,400,1100,15100
"ABFS",0,2700,100,114044,3717,12146,0,0,9684,21638,800,100,2300,10800
"ABG",0,40100,0,36487,2600,17149,0,9411,7371,4263,100,100,500,4521
"ABI",0,0,0,700,0,0,0,0,300,0,0,0,0,0
"ABIO",0,2500,900,180025,4200,16007,0,0,4467,29728,0,0,2400,14869
"ABM",0,1900,100,15128,600,7437,0,14976,7165,10593,500,1100,12804,2710
"ABMD",0,1500,0,29582,1700,2934,0,0,5200,21474,100,0,2691,3500
"ABR",0,2200,200,46833,6436,4997,0,24700,2200,9200,0,300,1300,4100
"ABT",0,101969,4834,1051255,52967,133919,0,215250,148351,277112,28043,7600,25363,129481
"ABTL",0,100,0,12300,0,1100,0,0,3300,1300,0,0,0,400
"ABV",0,29742,600,534794,27800,97112,0,207283,91066,130941,13712,13900,7992,54931
"ABX",0,380828,7231,4978640,282372,688194,0,1150578,699661,587780,102633,120400,85363,748804
"ACAD",0,18610,9500,2066969,34327,544219,0,0,163572,523986,3694,1200,27087,267164
"ACAS",5800,11500,400,391793,31890,32895,0,0,40089,180544,1500,700,11516,99782
"ACAT",0,17100,200,127293,200,1700,0,0,8143,17724,200,0,900,2800
"ACC",0,17614,400,518810,6400,17620,0,87445,35180,57681,3900,1200,7271,37093
"ACCL",0,1400,100,96612,1000,2899,0,0,15088,12772,100,300,700,4100
