"exchange"	"symbol"	"x"
"6"	"A"	"AAU"	800
"7"	"B"	"AAU"	1900
"8"	"C"	"AAU"	550
"9"	"D"	"AAU"	47068
"10"	"J"	"AAU"	700
"11"	"K"	"AAU"	8000
"12"	"P"	"AAU"	1300
"13"	"Q"	"AAU"	1000
"14"	"W"	"AAU"	700
"15"	"Y"	"AAU"	500
"16"	"Z"	"AAU"	2200
"18"	"D"	"ACU"	800
"19"	"D"	"ACY"	950
"20"	"W"	"ACY"	100
"27"	"A"	"ADGE"	1700
"28"	"D"	"ADGE"	7812
"29"	"K"	"ADGE"	100
"30"	"P"	"ADGE"	200
"31"	"Q"	"ADGE"	300
"37"	"B"	"ADK"	700
"38"	"D"	"ADK"	28906
"39"	"J"	"ADK"	1400
"40"	"K"	"ADK"	1300
"41"	"P"	"ADK"	3900
"42"	"Q"	"ADK"	910
"43"	"Y"	"ADK"	1800
"44"	"Z"	"ADK"	1900
"49"	"A"	"AE"	700
"50"	"B"	"AE"	100
"51"	"D"	"AE"	1850
"52"	"K"	"AE"	800
"53"	"P"	"AE"	1200
"54"	"Q"	"AE"	600
"55"	"W"	"AE"	100
"56"	"Y"	"AE"	200
"57"	"Z"	"AE"	300
"65"	"A"	"AGX"	5500
"66"	"B"	"AGX"	800
"67"	"C"	"AGX"	1900
"68"	"D"	"AGX"	8436
"69"	"K"	"AGX"	1700
"70"	"P"	"AGX"	2400
"71"	"Q"	"AGX"	4625
"72"	"Y"	"AGX"	300
"73"	"Z"	"AGX"	1000
"88"	"A"	"AKG"	900
"89"	"B"	"AKG"	4100
"90"	"D"	"AKG"	36800
"91"	"J"	"AKG"	700
"92"	"K"	"AKG"	8100
"93"	"P"	"AKG"	2500
"94"	"Q"	"AKG"	6500
"95"	"W"	"AKG"	400
"96"	"X"	"AKG"	10100
"97"	"Y"	"AKG"	600
"98"	"Z"	"AKG"	900
"99"	"D"	"ALN"	1100
"100"	"P"	"ALN"	100
"101"	"Q"	"ALN"	100
"103"	"A"	"ALTV"	1460
"104"	"D"	"ALTV"	9802
"105"	"P"	"ALTV"	700
"106"	"Q"	"ALTV"	950
"107"	"Z"	"ALTV"	300
"117"	"B"	"AMPE"	1500
"118"	"D"	"AMPE"	95181
"119"	"J"	"AMPE"	500
"120"	"K"	"AMPE"	84462
"121"	"P"	"AMPE"	9848
"122"	"Q"	"AMPE"	11910
"123"	"Y"	"AMPE"	500
"124"	"Z"	"AMPE"	800
"127"	"A"	"AMS"	300
"128"	"D"	"AMS"	1300
"129"	"J"	"AMS"	100
"130"	"K"	"AMS"	300
"131"	"P"	"AMS"	100
"154"	"A"	"ANV"	51801
"155"	"B"	"ANV"	20504
"156"	"C"	"ANV"	2626
"157"	"D"	"ANV"	288654
"158"	"J"	"ANV"	29417
"159"	"K"	"ANV"	46264
"160"	"P"	"ANV"	75716
"161"	"Q"	"ANV"	101910
"162"	"W"	"ANV"	1800
"163"	"X"	"ANV"	14431
"164"	"Y"	"ANV"	1600
"165"	"Z"	"ANV"	39831
"166"	"D"	"API"	1159
"167"	"K"	"API"	300
"168"	"Q"	"API"	200
"181"	"A"	"APP"	26956
"182"	"B"	"APP"	3000
"183"	"C"	"APP"	100
"184"	"D"	"APP"	173823
"185"	"J"	"APP"	2853
"186"	"K"	"APP"	9047
"187"	"P"	"APP"	8332
"188"	"Q"	"APP"	21389
"189"	"W"	"APP"	700
"190"	"X"	"APP"	700
"191"	"Y"	"APP"	2200
"192"	"Z"	"APP"	5903
"198"	"A"	"APT"	500
"199"	"D"	"APT"	43232
"200"	"J"	"APT"	300
"201"	"P"	"APT"	2400
"202"	"W"	"APT"	100
"203"	"Y"	"APT"	100
"204"	"Z"	"APT"	100
"207"	"A"	"APTS"	100
"208"	"D"	"APTS"	5629
"209"	"P"	"APTS"	100
"210"	"Q"	"APTS"	299
"211"	"D"	"AQQ"	13216
"212"	"J"	"AQQ"	100
"213"	"K"	"AQQ"	550
"214"	"P"	"AQQ"	200
"215"	"Q"	"AQQ"	500
"217"	"A"	"ASM"	600
"218"	"B"	"ASM"	1000
"219"	"C"	"ASM"	100
"220"	"D"	"ASM"	7700
"221"	"J"	"ASM"	1500
"222"	"K"	"ASM"	3700
"223"	"P"	"ASM"	500
"224"	"Q"	"ASM"	1100
"225"	"Y"	"ASM"	600
"226"	"Z"	"ASM"	100
"227"	"A"	"ATL"	3200
"228"	"D"	"ATL"	12000
"229"	"K"	"ATL"	5000
"230"	"P"	"ATL"	900
"231"	"Q"	"ATL"	21300
"244"	"A"	"AUMN"	3430
"245"	"B"	"AUMN"	100
"246"	"D"	"AUMN"	41451
"247"	"J"	"AUMN"	800
"248"	"K"	"AUMN"	4381
"249"	"P"	"AUMN"	7905
"250"	"Q"	"AUMN"	4600
"251"	"W"	"AUMN"	100
"252"	"Y"	"AUMN"	595
"253"	"Z"	"AUMN"	1995
"259"	"A"	"AVL"	1900
"260"	"B"	"AVL"	400
"261"	"C"	"AVL"	1600
"262"	"D"	"AVL"	42254
"263"	"J"	"AVL"	400
"264"	"K"	"AVL"	4700
"265"	"P"	"AVL"	1200
"266"	"Q"	"AVL"	13418
"267"	"Y"	"AVL"	3700
"268"	"Z"	"AVL"	500
"269"	"D"	"AXN"	1000
"287"	"A"	"AXU"	6700
"288"	"B"	"AXU"	5400
"289"	"C"	"AXU"	1500
"290"	"D"	"AXU"	208013
"291"	"J"	"AXU"	5387
"292"	"K"	"AXU"	17200
"293"	"P"	"AXU"	5123
"294"	"Q"	"AXU"	31568
"295"	"W"	"AXU"	1200
"296"	"X"	"AXU"	100
"297"	"Y"	"AXU"	11100
"298"	"Z"	"AXU"	41365
"299"	"D"	"AXX"	2260
"300"	"J"	"AXX"	100
"307"	"A"	"AZC"	2300
"308"	"B"	"AZC"	1700
"309"	"D"	"AZC"	15400
"310"	"J"	"AZC"	1500
"311"	"K"	"AZC"	2400
"312"	"P"	"AZC"	300
"313"	"Q"	"AZC"	1000
"314"	"Y"	"AZC"	100
"315"	"Z"	"AZC"	200
"329"	"A"	"BAA"	10072
"330"	"B"	"BAA"	14800
"331"	"C"	"BAA"	400
"332"	"D"	"BAA"	302240
"333"	"J"	"BAA"	7327
"334"	"K"	"BAA"	8490
"335"	"P"	"BAA"	15500
"336"	"Q"	"BAA"	11501
"337"	"W"	"BAA"	200
"338"	"X"	"BAA"	4860
"339"	"Y"	"BAA"	6614
"340"	"Z"	"BAA"	47024
"342"	"D"	"BCV"	3990
"343"	"P"	"BCV"	300
"344"	"Q"	"BCV"	100
"346"	"A"	"BFY"	400
"347"	"D"	"BFY"	1090
"348"	"K"	"BFY"	100
"349"	"P"	"BFY"	500
"350"	"Q"	"BFY"	200
"351"	"A"	"BHB"	100
"352"	"D"	"BHB"	500
"353"	"P"	"BHB"	906
"354"	"Q"	"BHB"	100
"355"	"Z"	"BHB"	100
"358"	"A"	"BHV"	500
"359"	"D"	"BHV"	3075
"364"	"A"	"BKR"	100
"365"	"D"	"BKR"	1500
"366"	"P"	"BKR"	2253
"367"	"Q"	"BKR"	100
"368"	"Z"	"BKR"	200
"371"	"A"	"BLE"	3514
"372"	"C"	"BLE"	200
"373"	"D"	"BLE"	16923
"374"	"K"	"BLE"	7396
"375"	"P"	"BLE"	200
"376"	"A"	"BLJ"	800
"377"	"C"	"BLJ"	800
"378"	"D"	"BLJ"	1068
"379"	"P"	"BLJ"	500
"381"	"D"	"BONE"	15395
"382"	"J"	"BONE"	1000
"383"	"K"	"BONE"	600
"384"	"P"	"BONE"	100
"385"	"Q"	"BONE"	3335
"386"	"Z"	"BONE"	200
"387"	"A"	"BPS"	200
"388"	"D"	"BPS"	290
