"exchange"	"price"	"symbol"	"x"
"49"	"A"	0.18	"DEJ"	2708
"255"	"A"	0.245	"CPHI"	100
"307"	"D"	0.275	"CVM"	19000
"315"	"D"	0.2751	"CVM"	500
"329"	"D"	0.2755	"CVM"	500
"333"	"D"	0.2759	"CVM"	4000
"348"	"D"	0.277	"CVM"	700
"354"	"D"	0.2777	"CVM"	520
"356"	"D"	0.2778	"CVM"	4000
"360"	"D"	0.2779	"CVM"	400
"363"	"D"	0.278	"CVM"	23500
"381"	"D"	0.2786	"CVM"	3000
"405"	"D"	0.279	"CVM"	10000
"412"	"D"	0.2799	"CVM"	11000
"422"	"D"	0.28	"CVM"	1785
"510"	"K"	0.2902	"USU"	600
"604"	"P"	0.2998	"USU"	3000
"607"	"D"	0.2999	"JOB"	200
"608"	"D"	0.2999	"USU"	200
"641"	"C"	0.3025	"CGR"	1100
"661"	"D"	0.306	"CGR"	200
"707"	"D"	0.31	"ZBB"	900
"779"	"A"	0.32	"CGR"	700
"780"	"D"	0.32	"RNN"	3000
"820"	"D"	0.33	"RNN"	1200
"1013"	"D"	0.369	"SVBL"	3000
"1067"	"D"	0.39	"MCZ"	135
"1068"	"D"	0.3901	"MCZ"	135
"1136"	"D"	0.4045	"LSG"	4000
"1157"	"Q"	0.4099	"QRM"	400
"1199"	"D"	0.42	"IBIO"	100
"1225"	"D"	0.4298	"SSN"	6000
"1568"	"D"	0.5295	"HDY"	400
"1570"	"D"	0.5299	"CAK"	7500
"1623"	"D"	0.56	"INO"	1000
"1655"	"D"	0.568	"INO"	500
"1661"	"K"	0.5685	"INO"	400
"1668"	"D"	0.569	"INO"	5000
"1675"	"Q"	0.5692	"INO"	500
"1677"	"C"	0.5693	"INO"	200
"1684"	"C"	0.5699	"INO"	400
"1685"	"D"	0.5699	"INO"	3500
"1686"	"P"	0.5699	"INO"	200
"1690"	"D"	0.5699	"TGC"	500
"1691"	"A"	0.57	"INO"	700
"1692"	"Q"	0.57	"INO"	300
"1910"	"D"	0.5799	"WYY"	2000
"1924"	"A"	0.58	"WYY"	863
"1958"	"A"	0.6	"TAS"	100
"2023"	"A"	0.6085	"BRD"	400
"2032"	"A"	0.61	"BRD"	1400
"2033"	"D"	0.61	"BRD"	500
"2034"	"P"	0.61	"BRD"	1100
"2170"	"K"	0.631	"STP"	140
"2173"	"D"	0.6323	"STP"	500
"2184"	"P"	0.635	"STP"	5000
"2201"	"D"	0.64	"STP"	21700
"2202"	"K"	0.64	"STP"	4200
"2203"	"N"	0.64	"STP"	9900
"2204"	"P"	0.64	"STP"	100
"2205"	"Q"	0.64	"STP"	700
"2206"	"Y"	0.64	"STP"	700
"2207"	"Z"	0.64	"STP"	600
"2212"	"K"	0.6466	"STP"	100
"2213"	"N"	0.6466	"STP"	100
"2214"	"P"	0.6466	"STP"	100
"2215"	"D"	0.6467	"STP"	1000
"2217"	"D"	0.6468	"STP"	4603
"2218"	"N"	0.6468	"STP"	200
"2220"	"D"	0.6471	"STP"	200
"2222"	"N"	0.6473	"STP"	1636
"2224"	"D"	0.6479	"STP"	3000
"2225"	"J"	0.648	"STP"	300
"2226"	"D"	0.6489	"STP"	3800
"2228"	"N"	0.6493	"STP"	1000
"2229"	"B"	0.6494	"STP"	100
"2230"	"D"	0.6494	"STP"	3000
"2231"	"D"	0.6496	"STP"	200
"2232"	"N"	0.6496	"STP"	4440
"2236"	"D"	0.6499	"STP"	700
"2237"	"D"	0.6499	"TPI"	100
"2243"	"D"	0.65	"STP"	100
"2244"	"P"	0.65	"STP"	4487
"2699"	"D"	0.7	"MSTX"	8000
"3173"	"D"	0.7501	"DRL"	1400
"3180"	"D"	0.7502	"DRL"	2000
"3203"	"N"	0.7505	"NBG"	100
