"exchange"	"price"	"symbol"	"x"
"5"	"K"	0.0679	"CXM"	15000
"33"	"D"	0.1477	"TLR"	500
"36"	"J"	0.149	"TLR"	274
"37"	"K"	0.149	"TLR"	200
"45"	"D"	0.1744	"QMM"	200
"55"	"D"	0.183	"DEJ"	7400
"65"	"D"	0.1847	"DEJ"	200
"66"	"A"	0.185	"DEJ"	600
"76"	"D"	0.1907	"HUSA"	500
"81"	"D"	0.1928	"HUSA"	180
"89"	"P"	0.1974	"HUSA"	2600
"92"	"Z"	0.1995	"ATL"	400
"103"	"Q"	0.2	"CHGS"	100
"131"	"D"	0.2049	"CHGS"	3600
"133"	"D"	0.205	"CHGS"	600
"136"	"D"	0.2068	"CHGS"	2000
"138"	"D"	0.2069	"CHGS"	3500
"140"	"D"	0.2099	"CPHI"	200
"141"	"K"	0.2099	"CPHI"	200
"191"	"D"	0.2305	"HEB"	34397
"192"	"J"	0.2305	"HEB"	769
"193"	"K"	0.2305	"HEB"	1034
"218"	"D"	0.2327	"HEB"	3000
"219"	"D"	0.2328	"HEB"	603
"221"	"J"	0.2329	"HEB"	6681
"222"	"P"	0.2329	"HEB"	13319
"234"	"D"	0.2331	"HEB"	7986
"418"	"D"	0.2799	"NTN"	5000
"423"	"D"	0.28	"CVM"	5300
"429"	"D"	0.28	"NTN"	500
"433"	"D"	0.2801	"CVM"	3567
"438"	"D"	0.281	"CVM"	3000
"444"	"K"	0.282	"CVM"	2707
"452"	"D"	0.2825	"CVM"	2000
"453"	"Q"	0.283	"CVM"	2800
"455"	"D"	0.2831	"CVM"	3580
"458"	"D"	0.2839	"CVM"	8200
"459"	"K"	0.2839	"CVM"	4300
"460"	"D"	0.284	"CVM"	70800
"461"	"J"	0.284	"CVM"	2200
"462"	"K"	0.284	"CVM"	8100
"463"	"P"	0.284	"CVM"	5700
"466"	"D"	0.2841	"CVM"	7000
"467"	"K"	0.2841	"CVM"	1500
"484"	"K"	0.2878	"EGI"	400
"491"	"D"	0.289	"EGI"	100
"492"	"D"	0.289	"MGH"	700
"493"	"D"	0.2891	"MGH"	1600
"494"	"D"	0.2892	"MGH"	300
"497"	"D"	0.2898	"EGI"	1200
"505"	"D"	0.29	"EGI"	400
"526"	"D"	0.2921	"CGR"	2000
"527"	"K"	0.2921	"CGR"	1500
"532"	"D"	0.2924	"CGR"	200
"537"	"D"	0.2926	"CGR"	3600
"562"	"D"	0.2945	"CGR"	5000
"565"	"B"	0.295	"CGR"	100
"577"	"D"	0.2953	"CGR"	2300
"580"	"D"	0.2955	"CGR"	2000
"665"	"J"	0.3067	"USU"	300
"666"	"D"	0.3068	"USU"	100
"667"	"Y"	0.3068	"USU"	100
"669"	"D"	0.3069	"USU"	100
"670"	"P"	0.3069	"USU"	300
"677"	"Q"	0.308	"ROX"	100
"678"	"Z"	0.308	"ROX"	100
"702"	"K"	0.31	"USU"	500
"708"	"Y"	0.31	"ZBB"	400
"710"	"D"	0.3101	"USU"	100
"711"	"Z"	0.3101	"USU"	200
"712"	"D"	0.3104	"ZBB"	1300
"743"	"D"	0.3155	"RNN"	1550
"744"	"Q"	0.3155	"RNN"	985
"751"	"D"	0.3157	"ZBB"	1000
"759"	"D"	0.317	"USU"	300
"761"	"D"	0.3171	"USU"	300
"762"	"D"	0.3173	"USU"	100
"763"	"Q"	0.3174	"USU"	400
"764"	"Y"	0.3174	"USU"	100
"765"	"J"	0.3175	"USU"	2400
"767"	"A"	0.3187	"RNN"	2600
"785"	"D"	0.32	"USU"	2300
"786"	"N"	0.32	"USU"	200
"800"	"K"	0.325	"RNN"	1000
"815"	"D"	0.33	"HTM"	2500
"837"	"A"	0.3412	"SVBL"	2100
"838"	"Y"	0.3412	"SVBL"	100
"840"	"A"	0.3413	"SVBL"	1800
"858"	"D"	0.3458	"PULS"	600
"860"	"D"	0.3468	"PULS"	900
"884"	"B"	0.3499	"SVBL"	100
"885"	"D"	0.3499	"SVBL"	23000
"905"	"D"	0.352	"PULS"	5100
"906"	"K"	0.352	"PULS"	3242
"911"	"D"	0.3521	"PULS"	100
"921"	"D"	0.3537	"PULS"	350
"1032"	"D"	0.378	"LSG"	400
"1033"	"J"	0.378	"LSG"	291
"1039"	"D"	0.38	"LSG"	100
"1046"	"D"	0.3802	"LSG"	100
"1048"	"K"	0.3803	"LSG"	200
"1049"	"A"	0.3804	"LSG"	100
"1050"	"A"	0.381	"LSG"	200
"1051"	"D"	0.3828	"LSG"	4500
"1053"	"D"	0.3843	"LSG"	100
"1054"	"D"	0.3844	"LSG"	100
"1055"	"D"	0.3846	"LSG"	13400
"1059"	"A"	0.39	"LSG"	2800
"1144"	"D"	0.4058	"QRM"	900
"1145"	"D"	0.4059	"MCZ"	1400
"1175"	"D"	0.4129	"QRM"	500
"1200"	"A"	0.42	"IBIO"	100
"1201"	"Q"	0.42	"IBIO"	778
"1204"	"D"	0.421	"IBIO"	100
"1221"	"K"	0.429	"IBIO"	500
"1316"	"D"	0.47	"SSN"	100
"1320"	"A"	0.472	"SSN"	100
"1321"	"D"	0.472	"SSN"	1700
"1322"	"J"	0.472	"SSN"	500
"1323"	"D"	0.4721	"SSN"	2256
"1324"	"Q"	0.4735	"SSN"	100
"1325"	"Z"	0.4735	"SSN"	200
"1326"	"D"	0.474	"SSN"	1000
"1328"	"D"	0.4743	"SSN"	3665
"1329"	"D"	0.4744	"SSN"	100
"1330"	"D"	0.4748	"SSN"	700
"1331"	"D"	0.475	"SSN"	4300
"1332"	"D"	0.4775	"SSN"	6600
"1333"	"Z"	0.4775	"SSN"	100
"1339"	"D"	0.48	"SSN"	1000
"1376"	"D"	0.4995	"HDY"	300
"1377"	"J"	0.4995	"HDY"	291
"1378"	"K"	0.4995	"HDY"	1900
"1379"	"N"	0.4995	"HDY"	100
"1385"	"D"	0.4996	"HDY"	4800
"1386"	"J"	0.4996	"HDY"	100
"1387"	"K"	0.4996	"HDY"	300
"1390"	"N"	0.4997	"HDY"	200
"1393"	"D"	0.4998	"HDY"	100
"1394"	"N"	0.4998	"HDY"	100
"1397"	"D"	0.4999	"HDY"	1500
"1398"	"J"	0.4999	"HDY"	100
"1399"	"P"	0.4999	"HDY"	200
"1403"	"D"	0.5	"HDY"	5300
"1404"	"K"	0.5	"HDY"	2000
"1405"	"N"	0.5	"HDY"	2000
"1580"	"A"	0.535	"CAK"	297
"1588"	"A"	0.545	"CAK"	500
"1589"	"Q"	0.545	"CAK"	100
"1590"	"Z"	0.545	"CAK"	200
"1591"	"Q"	0.5475	"CAK"	100
"1592"	"Z"	0.5475	"CAK"	100
"1596"	"D"	0.549	"CAK"	200
"1601"	"A"	0.55	"CAK"	100
"1619"	"A"	0.555	"TGC"	200
"1620"	"J"	0.555	"TGC"	300
"1621"	"K"	0.555	"TGC"	200
"1622"	"D"	0.559	"CAK"	100
"1696"	"J"	0.57	"TGC"	100
"1723"	"D"	0.571	"TAS"	2000
"1817"	"D"	0.576	"INO"	200
"1821"	"D"	0.5761	"INO"	3912
"1838"	"D"	0.577	"INO"	4112
"1839"	"P"	0.577	"INO"	3015
"1930"	"D"	0.5815	"TAS"	500
"2047"	"Z"	0.614	"BRD"	134
"2099"	"A"	0.62	"BRD"	1600
"2100"	"B"	0.62	"BRD"	1000
"2101"	"J"	0.62	"BRD"	1000
"2102"	"P"	0.62	"BRD"	4000
"2103"	"Q"	0.62	"BRD"	33800
"2104"	"Y"	0.62	"BRD"	1100
"2105"	"Z"	0.62	"BRD"	1300
"2129"	"P"	0.6208	"BRD"	100
"2131"	"P"	0.621	"BRD"	300
"2133"	"D"	0.6223	"BRD"	750
"2135"	"D"	0.624	"BRD"	8183
"2136"	"P"	0.624	"BRD"	1800
"2137"	"Q"	0.624	"BRD"	900
"2142"	"D"	0.6243	"BRD"	1000
"2146"	"D"	0.6249	"BRD"	955
"2148"	"D"	0.625	"BRD"	1045
"2162"	"D"	0.63	"GSV"	11000
"2169"	"D"	0.631	"GSV"	300
"2171"	"D"	0.6316	"GSV"	1200
"2182"	"A"	0.635	"PTN"	1700
"2183"	"D"	0.635	"PTN"	1505
"2186"	"D"	0.6381	"PTN"	100
"2194"	"D"	0.64	"PTN"	3795
"2459"	"D"	0.68	"MSTX"	200
"2460"	"J"	0.68	"MSTX"	100
"2496"	"A"	0.685	"MSTX"	100
"2497"	"D"	0.685	"MSTX"	100
"2545"	"B"	0.691	"STP"	100
"2546"	"D"	0.691	"STP"	26910
"2547"	"J"	0.691	"STP"	400
"2548"	"Q"	0.691	"STP"	300
"2549"	"Z"	0.691	"STP"	100
"2550"	"K"	0.6911	"STP"	100
"2551"	"N"	0.6911	"STP"	371
"2552"	"D"	0.6912	"STP"	4400
"2559"	"D"	0.6916	"STP"	150
"2580"	"K"	0.693	"STP"	2510
"2589"	"D"	0.6935	"STP"	4000
"2598"	"Z"	0.694	"STP"	100
"2610"	"D"	0.6949	"STP"	2200
"2612"	"D"	0.695	"STP"	14450
"2613"	"K"	0.695	"STP"	700
"2614"	"N"	0.695	"STP"	2360
"2639"	"D"	0.6967	"STP"	5149
"2640"	"P"	0.6967	"STP"	4900
"2642"	"D"	0.6968	"STP"	5500
"2643"	"K"	0.6968	"STP"	100
"2644"	"P"	0.6968	"STP"	200
"2677"	"D"	0.699	"STP"	3200
"2682"	"D"	0.6992	"STP"	3700
"2683"	"Y"	0.6992	"STP"	233
"2695"	"D"	0.6999	"STP"	8720
"2703"	"D"	0.7	"STP"	6250
"2704"	"N"	0.7	"STP"	2300
"3066"	"D"	0.7425	"URG"	1146
"3078"	"J"	0.7433	"URG"	100
