"exchange"	"price"	"symbol"	"x"
"1"	"D"	0.06	"CRMBW"	4500
"44"	"Q"	0.5753	"ASTI"	100
"47"	"Q"	0.578	"ASTI"	5075
"182"	"Q"	0.5929	"ANTH"	100
"217"	"Q"	0.5952	"ANTH"	100
"218"	"Q"	0.5953	"ANTH"	600
"219"	"D"	0.5954	"ANTH"	800
"263"	"D"	0.61	"CBRX"	1000
"267"	"D"	0.6101	"CBRX"	400
"334"	"D"	0.6201	"CBRX"	500
"335"	"K"	0.6201	"CBRX"	200
"336"	"Q"	0.6201	"CBRX"	300
"426"	"D"	0.7525	"DARA"	300
"614"	"D"	0.84	"CLSN"	19845
"627"	"D"	0.8402	"CLSN"	11500
"628"	"D"	0.8403	"CLSN"	8750
"641"	"D"	0.8412	"CLSN"	2000
"657"	"D"	0.8448	"CLSN"	150
"658"	"D"	0.8449	"CLSN"	600
"659"	"K"	0.8449	"CLSN"	300
"703"	"D"	0.85	"CLSN"	2200
"704"	"K"	0.85	"CLSN"	3150
"705"	"P"	0.85	"CLSN"	100
"706"	"Q"	0.85	"CLSN"	10200
"734"	"D"	0.8506	"CLSN"	11072
"737"	"D"	0.8507	"CLSN"	14500
"739"	"K"	0.8509	"CLSN"	100
"740"	"D"	0.8512	"CLSN"	4000
"743"	"D"	0.8516	"CLSN"	640
"746"	"D"	0.852	"CLSN"	3600
"767"	"D"	0.8541	"CLSN"	2500
"795"	"D"	0.859	"CLSN"	700
"807"	"D"	0.8598	"CLSN"	1500
"809"	"D"	0.8599	"CLSN"	10000
"813"	"D"	0.86	"CLSN"	13500
"814"	"K"	0.86	"CLSN"	800
"819"	"D"	0.86	"CPRX"	558
"824"	"D"	0.8601	"CLSN"	6800
"835"	"D"	0.8614	"CLSN"	219
"847"	"D"	0.8649	"CLSN"	777
"848"	"D"	0.866	"CPRX"	254
"864"	"D"	0.8689	"CLSN"	1097
"869"	"D"	0.8698	"CLSN"	2750
"870"	"D"	0.8699	"CLSN"	1000
"872"	"D"	0.87	"CLSN"	8100
"873"	"K"	0.87	"CLSN"	200
"874"	"Q"	0.87	"CLSN"	10100
"880"	"D"	0.8701	"CLSN"	2500
"881"	"Q"	0.8701	"CLSN"	100
"882"	"D"	0.8701	"CPRX"	1000
"885"	"D"	0.8758	"CPST"	900
"1080"	"D"	0.89	"CPRX"	3017
"1081"	"K"	0.89	"CPRX"	3000
"1090"	"D"	0.8901	"CPRX"	2000
"1102"	"D"	0.899	"CPRX"	200
"1103"	"D"	0.8999	"CPRX"	1800
"1104"	"D"	0.9	"CPRX"	9000
"1105"	"K"	0.9	"CPRX"	6536
"1109"	"P"	0.9001	"CPRX"	100
"1112"	"D"	0.9002	"BLDP"	200
"1113"	"D"	0.9003	"BLDP"	600
"1128"	"D"	0.91	"BLDP"	100
"1130"	"D"	0.9101	"BLDP"	100
"1239"	"D"	0.925	"CPRX"	600
"1296"	"D"	0.929	"CPRX"	1000
"1313"	"D"	0.93	"BLDP"	300
"1319"	"D"	0.93	"CPRX"	700
"1324"	"D"	0.9301	"BLDP"	5200
"1328"	"D"	0.9302	"BLDP"	700
"1332"	"D"	0.931	"BLDP"	200
"1416"	"D"	0.94	"BLDP"	4100
"1438"	"D"	0.9479	"BLDP"	1800
"1445"	"P"	0.95	"ABCD"	1749
"1479"	"D"	1.08	"BSDM"	602
"1480"	"D"	1.081	"BSDM"	200
"1485"	"B"	1.1	"CTIC"	3000
"1486"	"D"	1.1	"CTIC"	3700
"1487"	"Z"	1.1	"CTIC"	200
"1496"	"D"	1.1001	"CTIC"	2500
"1508"	"D"	1.107	"BSDM"	100
"1509"	"D"	1.108	"BSDM"	700
"1511"	"D"	1.109	"BSDM"	2200
"1516"	"D"	1.1099	"CTIC"	5475
"1522"	"D"	1.11	"CTIC"	400
"1557"	"D"	1.119	"BSDM"	400
"1695"	"Z"	1.24	"ACLS"	106
"1708"	"D"	1.241	"CRDC"	1456
"1710"	"D"	1.246	"CRDC"	544
"1713"	"D"	1.249	"ACLS"	2000
"1738"	"D"	1.26	"CRMB"	500
"2015"	"D"	1.332	"CRMB"	800
"2033"	"D"	1.34	"CPGI"	1500
"2034"	"D"	1.34	"CYTK"	4412
"2035"	"Y"	1.34	"CYTK"	1200
"2046"	"D"	1.341	"CYTK"	1200
"2048"	"D"	1.3418	"CYTK"	200
"2049"	"Q"	1.342	"CYTK"	100
"2064"	"D"	1.35	"CYTK"	4000
"2065"	"K"	1.35	"CYTK"	2500
"2066"	"P"	1.35	"CYTK"	2378
"2067"	"Q"	1.35	"CYTK"	8300
"2068"	"Z"	1.35	"CYTK"	100
"2075"	"D"	1.3501	"CYTK"	3900
"2079"	"D"	1.3515	"CYTK"	250
"2081"	"D"	1.359	"CYTK"	1000
"2083"	"D"	1.3599	"CYTK"	1000
"2086"	"D"	1.36	"CYTK"	5000
"2087"	"K"	1.36	"CYTK"	700
"2088"	"P"	1.36	"CYTK"	1000
"2089"	"Q"	1.36	"CYTK"	900
"2090"	"D"	1.3601	"CYTK"	500
"2092"	"D"	1.369	"CYTK"	3935
"2098"	"P"	1.37	"CYTK"	105
"2111"	"D"	1.4	"CRMB"	2000
"2112"	"P"	1.4	"CRMB"	100
"2113"	"Q"	1.4	"CRMB"	778
"2115"	"D"	1.4001	"CRMB"	300
"2117"	"P"	1.41	"CRMB"	100
"2118"	"D"	1.4196	"CRMB"	900
"2128"	"D"	1.47	"CRMB"	100
"2129"	"D"	1.4785	"CRMB"	700
"2130"	"D"	1.4799	"CRMB"	2000
"2404"	"P"	1.605	"DCTH"	300
"2405"	"Q"	1.605	"DCTH"	100
"2406"	"Z"	1.605	"DCTH"	100
"2423"	"D"	1.61	"DCTH"	7289
"2424"	"J"	1.61	"DCTH"	100
"2425"	"K"	1.61	"DCTH"	200
"2426"	"Q"	1.61	"DCTH"	1600
"2427"	"Z"	1.61	"DCTH"	200
"2430"	"D"	1.6101	"DCTH"	2400
"2441"	"D"	1.615	"DCTH"	100
"2442"	"Z"	1.615	"DCTH"	100
"2447"	"D"	1.6183	"DCTH"	1500
"2450"	"D"	1.619	"DCTH"	600
"2452"	"D"	1.6199	"DCTH"	3900
"2473"	"D"	1.62	"DCTH"	3700
"2527"	"D"	1.6499	"ALSK"	1001
"2529"	"D"	1.65	"ALSK"	999
"2704"	"Q"	1.72	"BGMD"	135
"2705"	"Z"	1.72	"BGMD"	100
"2822"	"D"	1.75	"BCRX"	100
"2835"	"D"	1.751	"BCRX"	2000
"2837"	"D"	1.7521	"BCRX"	100
"2839"	"D"	1.7535	"BCRX"	300
"2840"	"D"	1.7549	"BCRX"	100
"2885"	"Y"	1.77	"CHTP"	100
"2920"	"D"	1.78	"BCRX"	200
"2921"	"K"	1.78	"BCRX"	300
"2922"	"Q"	1.78	"BCRX"	780
"2937"	"K"	1.78	"COGO"	200
"2938"	"P"	1.78	"COGO"	400
"2943"	"D"	1.7801	"BCRX"	200
"2946"	"D"	1.7807	"BCRX"	390
"2972"	"D"	1.7852	"BCRX"	300
"2980"	"D"	1.7896	"CHTP"	100
"3037"	"K"	1.8	"BCRX"	362
"3047"	"D"	1.8	"CHTP"	100
"3059"	"D"	1.809	"CHLN"	200
"3147"	"D"	1.82	"BCRX"	100
"3148"	"J"	1.82	"BCRX"	100
"3219"	"D"	1.83	"COGO"	105
"3325"	"Q"	1.855	"ATEC"	100
"3329"	"D"	1.858	"ATEC"	1116
"3371"	"D"	1.867	"ATEC"	500
"3373"	"D"	1.869	"ATEC"	2000
"3384"	"D"	1.87	"ATEC"	884
"3385"	"Q"	1.87	"ATEC"	200
"3586"	"D"	1.9	"APPY"	250
"3711"	"K"	1.93	"CBLI"	600
"3712"	"Z"	1.93	"CBLI"	500
"3761"	"K"	1.94	"CBLI"	400
"3842"	"D"	1.9699	"CBLI"	100
"3852"	"D"	1.97	"CBLI"	1400
"3853"	"Z"	1.97	"CBLI"	900
"3855"	"D"	1.97	"COCO"	700
"3859"	"D"	1.971	"COCO"	2000
"3880"	"D"	1.9799	"COCO"	100
"3894"	"D"	1.98	"COCO"	1300
"3895"	"P"	1.98	"COCO"	500
"3896"	"Q"	1.98	"COCO"	300
"3897"	"Z"	1.98	"COCO"	100
"3929"	"D"	1.985	"COCO"	300
"3972"	"P"	1.99	"COCO"	500
"3973"	"Q"	1.99	"COCO"	200
"3974"	"Y"	1.99	"COCO"	100
"4014"	"D"	1.995	"COCO"	200
"4046"	"D"	2	"COCO"	100
"4047"	"P"	2	"COCO"	100
"4234"	"D"	2.04	"CRWN"	1130
"4250"	"D"	2.0401	"CRWN"	1130
"4267"	"D"	2.0499	"CRWN"	600
"4275"	"D"	2.05	"CRWN"	700
"4276"	"P"	2.05	"CRWN"	25800
"4277"	"Q"	2.05	"CRWN"	4900
"4300"	"D"	2.06	"CCCL"	200
"4307"	"D"	2.0601	"CCCL"	1800
"4310"	"D"	2.061	"CCCL"	825
"4313"	"D"	2.0624	"CCCL"	400
"4333"	"K"	2.07	"CCCL"	1000
"4334"	"P"	2.07	"CCCL"	100
"4355"	"D"	2.0763	"CCCL"	800
"4387"	"D"	2.0801	"CCCL"	100
"4393"	"D"	2.083	"CCCL"	1000
"4404"	"D"	2.09	"ATHX"	790
"4405"	"Q"	2.09	"ATHX"	100
"4427"	"D"	2.0901	"ATHX"	1300
"4435"	"Q"	2.095	"ATHX"	100
"4446"	"D"	2.0996	"ATHX"	175
"4450"	"D"	2.1	"ATHX"	400
"4451"	"K"	2.1	"ATHX"	1500
"4452"	"Q"	2.1	"ATHX"	1726
"4461"	"D"	2.1	"CCCL"	4851
"4462"	"Q"	2.1	"CCCL"	300
"4497"	"D"	2.1037	"CCCL"	500
"4520"	"D"	2.11	"CCCL"	4150
"4521"	"Q"	2.11	"CCCL"	9399
"4544"	"D"	2.1101	"CCCL"	4300
"4547"	"D"	2.1125	"CCCL"	5000
"4550"	"D"	2.1131	"CCCL"	420
"4560"	"D"	2.1189	"CDTI"	210
"4563"	"D"	2.1199	"CCCL"	350
"4576"	"D"	2.12	"CCCL"	450
"4577"	"P"	2.12	"CCCL"	100
"4578"	"Q"	2.12	"CCCL"	1200
"4579"	"Z"	2.12	"CCCL"	200
"4590"	"D"	2.1201	"CCCL"	1000
"4661"	"Q"	2.14	"CCCL"	700
"4664"	"K"	2.14	"CECO"	1996
"4685"	"D"	2.1499	"CECO"	389
"4709"	"D"	2.15	"CECO"	100
"4710"	"Q"	2.15	"CECO"	200
"4779"	"D"	2.1601	"AXAS"	3000
"4815"	"D"	2.17	"AXAS"	1200
"4816"	"Q"	2.17	"AXAS"	100
"4849"	"D"	2.1799	"AXAS"	100
"4851"	"Q"	2.18	"AXAS"	100
"5031"	"D"	2.35	"APRI"	7425
"5036"	"D"	2.3501	"APRI"	11975
"5051"	"P"	2.38	"APRI"	100
"5065"	"D"	2.42	"AMSC"	100
"5069"	"Q"	2.425	"AMSC"	100
"5073"	"C"	2.43	"AMSC"	7400
"5074"	"Q"	2.43	"AMSC"	100
"5089"	"Z"	2.45	"AMSC"	220
"5092"	"D"	2.4501	"AMSC"	300
"5094"	"D"	2.455	"AMSC"	200
"5095"	"D"	2.457	"AMSC"	400
"5096"	"D"	2.4575	"AMSC"	100
"5097"	"D"	2.4599	"AMSC"	1000
"5100"	"D"	2.46	"AMSC"	800
"5101"	"P"	2.46	"AMSC"	100
"5102"	"Q"	2.46	"AMSC"	1800
"5119"	"B"	2.48	"AMSC"	100
"5120"	"D"	2.48	"AMSC"	1000
"5121"	"K"	2.48	"AMSC"	2000
"5122"	"P"	2.48	"AMSC"	200
"5123"	"Q"	2.48	"AMSC"	500
"5139"	"D"	2.49	"AMSC"	100
"5312"	"D"	2.55	"ACUR"	500
"5313"	"K"	2.55	"ACUR"	300
"5338"	"D"	2.55	"COWN"	200
"5339"	"P"	2.55	"COWN"	400
"5348"	"D"	2.5501	"ACUR"	300
"5388"	"D"	2.56	"ACUR"	2450
"5420"	"D"	2.5601	"ACUR"	3899
"5425"	"D"	2.5605	"ACUR"	1200
"5453"	"Z"	2.57	"ABIO"	100
"5521"	"D"	2.5799	"ABIO"	150
"5585"	"Q"	2.59	"ACUR"	1002
"5606"	"D"	2.5901	"ACUR"	300
"5620"	"D"	2.6	"ACUR"	100
"5634"	"D"	2.6001	"ACUR"	299
"5636"	"D"	2.601	"ACUR"	2000
"5644"	"D"	2.6099	"ACUR"	500
"5649"	"D"	2.61	"ACUR"	1100
"5650"	"P"	2.61	"ACUR"	400
"5651"	"Q"	2.61	"ACUR"	300
"5657"	"D"	2.6101	"ACUR"	1000
"5658"	"D"	2.6102	"ACUR"	2000
"5671"	"Q"	2.62	"ACUR"	300
"5693"	"D"	2.63	"ACUR"	1720
"5694"	"K"	2.63	"ACUR"	8765
"5695"	"P"	2.63	"ACUR"	200
"5696"	"Q"	2.63	"ACUR"	535
"6008"	"Q"	2.75	"ATNY"	100
"6019"	"D"	2.75	"CYTX"	100
"6037"	"D"	2.76	"AMRS"	100
"6062"	"D"	2.77	"AMRS"	200
"6110"	"D"	2.78	"CYTX"	400
"6213"	"Q"	2.8	"ATNY"	100
"6224"	"P"	2.8	"CYTR"	100
"6225"	"Q"	2.8	"CYTR"	100
"6231"	"K"	2.8	"CYTX"	215
