"exchange"	"price"	"symbol"	"x"
"9"	"D"	0.5411	"COOL"	39900
"18"	"D"	0.544	"COOL"	1800
"122"	"D"	0.59	"ANTH"	100
"123"	"K"	0.59	"ANTH"	100
"135"	"C"	0.5903	"ANTH"	100
"143"	"J"	0.5912	"ANTH"	2700
"149"	"J"	0.5913	"ANTH"	200
"150"	"P"	0.5913	"ANTH"	100
"151"	"Q"	0.5913	"ANTH"	100
"152"	"D"	0.5914	"ANTH"	5000
"153"	"J"	0.5914	"ANTH"	3300
"173"	"D"	0.5922	"ANTH"	300
"183"	"Q"	0.5929	"ANTH"	300
"184"	"Z"	0.5929	"ANTH"	100
"257"	"K"	0.61	"ASTI"	1100
"264"	"D"	0.61	"CBRX"	200
"301"	"D"	0.615	"CBRX"	48000
"326"	"K"	0.62	"ASTI"	100
"376"	"D"	0.6771	"COSI"	500
"377"	"D"	0.6782	"COSI"	603
"384"	"D"	0.6852	"COSI"	1200
"385"	"D"	0.6884	"COSI"	800
"392"	"D"	0.69	"COSI"	2000
"393"	"Q"	0.6901	"ASTM"	100
"394"	"Q"	0.6902	"ASTM"	700
"465"	"Q"	0.7653	"DARA"	500
"480"	"B"	0.78	"DARA"	500
"755"	"D"	0.853	"CLSN"	3000
"760"	"P"	0.8532	"CLSN"	100
"772"	"Q"	0.8551	"CLSN"	1000
"774"	"D"	0.8554	"CLSN"	600
"780"	"D"	0.8561	"CLSN"	1000
"781"	"D"	0.8562	"CLSN"	3600
"784"	"D"	0.8571	"CLSN"	3000
"785"	"D"	0.8575	"CLSN"	400
"786"	"P"	0.8575	"CLSN"	1500
"793"	"D"	0.8586	"CLSN"	500
"794"	"D"	0.8589	"CLSN"	1000
"796"	"D"	0.859	"CLSN"	9475
"797"	"Q"	0.859	"CLSN"	500
"802"	"D"	0.8592	"CLSN"	1000
"804"	"D"	0.8595	"CLSN"	100
"808"	"D"	0.8598	"CLSN"	300
"810"	"D"	0.8599	"CLSN"	7415
"815"	"D"	0.86	"CLSN"	5200
"871"	"D"	0.8699	"CLSN"	500
"875"	"D"	0.87	"CLSN"	1000
"876"	"K"	0.87	"CLSN"	5600
"884"	"D"	0.8708	"CLSN"	200
"898"	"D"	0.88	"CPST"	1800
"899"	"J"	0.88	"CPST"	100
"900"	"K"	0.88	"CPST"	300
"901"	"P"	0.88	"CPST"	200
"902"	"Q"	0.88	"CPST"	10252
"908"	"D"	0.8801	"CPST"	2894
"909"	"K"	0.8801	"CPST"	300
"910"	"P"	0.8801	"CPST"	1230
"911"	"Q"	0.8801	"CPST"	1900
"912"	"Z"	0.8801	"CPST"	200
"920"	"K"	0.8802	"CPST"	300
"921"	"Z"	0.8802	"CPST"	100
"1179"	"P"	0.9203	"BLDP"	1300
"1195"	"P"	0.921	"BLDP"	200
"1201"	"D"	0.9216	"BLDP"	100
"1202"	"K"	0.9216	"BLDP"	300
"1203"	"Q"	0.9216	"BLDP"	700
"1208"	"D"	0.9217	"BLDP"	100
"1209"	"J"	0.9217	"BLDP"	100
"1276"	"K"	0.9275	"CPRX"	300
"1277"	"D"	0.9276	"CPRX"	1000
"1278"	"D"	0.9278	"CPRX"	3000
"1281"	"C"	0.9279	"CPRX"	100
"1285"	"K"	0.928	"CPRX"	5000
"1286"	"Q"	0.928	"CPRX"	3887
"1297"	"Q"	0.929	"CPRX"	3313
"1302"	"J"	0.9292	"CPRX"	300
"1311"	"J"	0.9298	"CPRX"	100
"1314"	"K"	0.93	"BLDP"	300
"1320"	"J"	0.93	"CPRX"	200
"1321"	"Q"	0.93	"CPRX"	10000
"1327"	"J"	0.9301	"CPRX"	9033
"1342"	"J"	0.9324	"CPRX"	100
"1343"	"J"	0.9326	"CPRX"	100
"1344"	"J"	0.9327	"CPRX"	100
