"exchange"	"price"	"symbol"	"x"
"22"	"D"	0.1619	"PLUG"	1400
"24"	"D"	0.162	"PLUG"	3600
"85"	"D"	0.2801	"PEIX"	700
"90"	"D"	0.2802	"PEIX"	500
"174"	"D"	0.283	"PEIX"	100
"322"	"D"	0.2912	"PGRX"	16700
"349"	"K"	0.3	"PGRX"	200
"354"	"Q"	0.3014	"PGRX"	100
"355"	"Q"	0.3016	"PGRX"	3000
"373"	"P"	0.32	"PGRX"	100
"377"	"D"	0.3298	"PGRX"	175
"433"	"Q"	0.37	"NEWL"	300
"434"	"Q"	0.375	"NEWL"	300
"445"	"Q"	0.38	"NEWL"	100
"452"	"D"	0.383	"NEWL"	500
"464"	"D"	0.394	"NEWL"	300
"472"	"D"	0.4	"OPHC"	200
"519"	"D"	0.44	"WAVX"	2517
"520"	"P"	0.441	"WAVX"	300
"521"	"Q"	0.441	"WAVX"	500
"522"	"Z"	0.441	"WAVX"	900
"523"	"D"	0.4499	"WAVX"	203
"525"	"D"	0.45	"WAVX"	6100
"526"	"J"	0.45	"WAVX"	300
"527"	"K"	0.45	"WAVX"	3400
"528"	"P"	0.45	"WAVX"	1000
"529"	"Q"	0.45	"WAVX"	1100
"530"	"Z"	0.45	"WAVX"	1000
"537"	"D"	0.4501	"WAVX"	600
"538"	"P"	0.4501	"WAVX"	400
"586"	"D"	0.455	"WAVX"	100
"636"	"D"	0.459	"WAVX"	800
"641"	"Z"	0.4591	"WAVX"	800
"651"	"K"	0.4598	"WAVX"	1800
"652"	"P"	0.4598	"WAVX"	400
"657"	"D"	0.4599	"WAVX"	7101
"658"	"K"	0.4599	"WAVX"	1600
"664"	"D"	0.46	"WAVX"	38600
"665"	"P"	0.46	"WAVX"	4800
"666"	"Q"	0.46	"WAVX"	10400
"675"	"D"	0.4601	"WAVX"	200
"676"	"P"	0.4601	"WAVX"	1000
"683"	"D"	0.4602	"WAVX"	200
"692"	"D"	0.4603	"WAVX"	100
"733"	"D"	0.4619	"WAVX"	1000
"735"	"P"	0.462	"WAVX"	500
"784"	"D"	0.4649	"WAVX"	1000
"785"	"K"	0.4649	"WAVX"	500
"816"	"D"	0.4698	"WAVX"	900
"817"	"K"	0.4698	"WAVX"	900
"818"	"D"	0.4699	"WAVX"	599
"831"	"C"	0.4703	"WAVX"	100
"832"	"P"	0.4703	"WAVX"	500
"833"	"Q"	0.4703	"WAVX"	100
"844"	"D"	0.48	"WAVX"	5100
"845"	"Z"	0.48	"WAVX"	7500
"851"	"D"	0.5001	"IVAN"	500
"852"	"Q"	0.5001	"IVAN"	100
"874"	"D"	0.5068	"IVAN"	150
"875"	"D"	0.5069	"IVAN"	3000
"876"	"P"	0.5069	"IVAN"	200
"889"	"D"	0.51	"IVAN"	3931
"890"	"P"	0.51	"IVAN"	12900
"901"	"P"	0.511	"IVAN"	1000
"979"	"D"	0.56	"ZLCS"	1200
"980"	"D"	0.5601	"ZLCS"	1500
"981"	"D"	0.5679	"ZLCS"	3700
"984"	"D"	0.568	"ZLCS"	2400
"986"	"D"	0.5699	"ZLCS"	14000
"991"	"D"	0.57	"ZLCS"	9892
"1008"	"D"	0.5799	"QTWW"	4600
"1016"	"Z"	0.58	"QTWW"	2800
"1019"	"D"	0.58	"ZLCS"	15650
"1218"	"D"	0.6	"NLST"	10000
"1248"	"D"	0.606	"NLST"	100
"1360"	"A"	0.64	"NBS"	1600
"1361"	"C"	0.64	"NBS"	300
