"exchange"	"price"	"symbol"	"x"
"30"	"D"	0.163	"PLUG"	1339
"31"	"Q"	0.163	"PLUG"	700
"37"	"D"	0.21	"OXBT"	100
"39"	"D"	0.2101	"OXBT"	100
"41"	"D"	0.2106	"OXBT"	200
"43"	"J"	0.2107	"OXBT"	500
"50"	"D"	0.214	"OXBT"	100
"81"	"Q"	0.28	"PGRX"	6709
"122"	"B"	0.2817	"PEIX"	6900
"123"	"K"	0.2817	"PEIX"	100
"124"	"P"	0.2817	"PEIX"	300
"128"	"D"	0.2818	"PEIX"	7100
"129"	"K"	0.2818	"PEIX"	300
"133"	"K"	0.2819	"PEIX"	400
"140"	"B"	0.282	"PGRX"	1000
"141"	"Q"	0.282	"PGRX"	900
"143"	"D"	0.2821	"PEIX"	100
"147"	"J"	0.2821	"PGRX"	100
"148"	"K"	0.2821	"PGRX"	100
"149"	"B"	0.2822	"PEIX"	400
"150"	"K"	0.2822	"PEIX"	300
"153"	"B"	0.2823	"PEIX"	600
"154"	"D"	0.2823	"PEIX"	600
"155"	"J"	0.2823	"PEIX"	2000
"156"	"K"	0.2823	"PEIX"	200
"167"	"K"	0.2827	"PEIX"	400
"175"	"D"	0.283	"PEIX"	100
"186"	"Q"	0.2835	"PGRX"	900
"190"	"D"	0.284	"PEIX"	363
"231"	"Q"	0.2848	"PGRX"	1700
"241"	"D"	0.285	"PEIX"	763
"242"	"J"	0.285	"PEIX"	900
"243"	"Z"	0.285	"PEIX"	1000
"444"	"D"	0.38	"ENG"	400
"447"	"D"	0.3801	"ENG"	400
"449"	"D"	0.3802	"NEWL"	4400
"456"	"D"	0.3899	"NEWL"	1000
"457"	"K"	0.39	"NEWL"	1133
"459"	"K"	0.39	"OPHC"	100
"468"	"K"	0.3998	"ENG"	100
"531"	"Q"	0.45	"WAVX"	602
"539"	"D"	0.4501	"WAVX"	10000
"543"	"B"	0.4502	"WAVX"	100
"551"	"D"	0.4507	"WAVX"	882
"620"	"D"	0.4567	"WAVX"	200
"625"	"D"	0.4576	"WAVX"	300
"628"	"D"	0.458	"WAVX"	3640
"632"	"D"	0.4589	"WAVX"	2500
"667"	"D"	0.46	"WAVX"	950
"668"	"K"	0.46	"WAVX"	300
"712"	"K"	0.461	"TBAC"	320
"904"	"D"	0.513	"IVAN"	7100
"909"	"D"	0.514	"IVAN"	3600
"910"	"D"	0.5149	"IVAN"	600
"912"	"D"	0.515	"IVAN"	2100
"913"	"K"	0.515	"IVAN"	1100
"931"	"D"	0.5159	"IVAN"	600
"942"	"D"	0.5169	"IVAN"	1400
"943"	"J"	0.5169	"IVAN"	200
"947"	"D"	0.519	"IVAN"	3600
"949"	"D"	0.52	"IVAN"	1600
