"","exchange","symbol","price","size","primary exchange"
"1","B","A",42.7500008,700,"N"
"6","D1","A",42.79310940625,7465,"N"
"9","D2","A",42.7927272727273,1100,"N"
"12","J","A",42.8533326666667,500,"N"
"15","K","A",42.8100008333333,600,"N"
"18","N","A",42.7772496,4800,"N"
"21","P","A",42.8492857857143,4400,"N"
"24","Q","A",42.789688,2000,"N"
"33","Z","A",42.7769230769231,1500,"N"
"36","B","AA",8.19935483870968,13317,"N"
"39","C","AA",8.22666666666667,2000,"N"
"41","D1","AA",8.1994914893617,76020,"N"
"44","D2","AA",8.2183,97090,"N"
"47","J","AA",8.20415254237288,11670,"N"
"50","K","AA",8.21272727272727,52692,"N"
"53","N","AA",8.21549074074074,60076,"N"
"56","P","AA",8.20145,31854,"N"
"59","Q","AA",8.2021052631579,125612,"N"
"62","W","AA",8.20166666666667,600,"N"
"65","X","AA",8.19,3900,"N"
"68","Y","AA",8.21901960784314,8443,"N"
"71","Z","AA",8.21348993288591,37512,"N"
"81","B","AAN",28.030001,100,"N"
"86","D1","AAN",28.083317,800,"N"
"89","D2","AAN",28.0633333333333,600,"N"
"94","K","AAN",28.0100005,200,"N"
"98","N","AAN",28.0645456363636,1700,"N"
"101","P","AAN",28.134999,200,"N"
"104","Q","AAN",28.030001,100,"N"
"112","Z","AAN",28.0394127647059,1700,"N"
"117","D1","AAON",28.15,200,"Q"
"126","Q","AAON",28.200001,300,"Q"
"132","B","AAP",80.809998,100,"N"
"136","D1","AAP",80.8303344166667,6755,"N"
"145","N","AAP",80.93,350,"N"
"148","P","AAP",80.8100003333333,400,"N"
"151","Q","AAP",80.800003,100,"N"
"157","Y","AAP",80.849998,100,"N"
"160","Z","AAP",80.790001,100,"N"
"163","B","AAPL",398.343787472089,67720,"Q"
"166","C","AAPL",397.507690461538,1400,"Q"
"168","D1","AAPL",398.492065619324,1404077,"Q"
"171","D2","AAPL",397.614269141531,79376,"Q"
"174","J","AAPL",398.599297299866,81439,"Q"
"177","K","AAPL",398.04585443364,104999,"Q"
"180","P","AAPL",398.213383739496,236777,"Q"
"183","Q","AAPL",398.195842959241,180865,"Q"
"186","W","AAPL",397.3899962,500,"Q"
"188","X","AAPL",394.690002,100,"Q"
"190","Y","AAPL",398.931171010489,29482,"Q"
"193","Z","AAPL",398.575708760823,111353,"Q"
"196","B","AAT",32.8675,400,"N"
"200","D1","AAT",32.8566671666667,800,"N"
"207","N","AAT",32.927999,500,"N"
"211","Q","AAT",32.9050005,200,"N"
"221","B","AAU",1.57,200,"A"
"224","D1","AAU",1.58165,1700,"A"
"227","D2","AAU",1.59,100,"A"
"237","Z","AAU",1.57,100,"A"
"248","N","AAV",3.705,200,"N"
"251","P","AAV",3.7,300,"N"
"254","Q","AAV",3.68,200,"N"
"260","Y","AAV",3.71,100,"N"
"263","Z","AAV",3.69333333333333,800,"N"
"266","B","AAWW",38.74,200,"Q"
"271","D1","AAWW",38.959999,100,"Q"
"274","D2","AAWW",38.75,200,"Q"
"277","J","AAWW",38.77,100,"Q"
"284","Q","AAWW",38.6979996,800,"Q"
