"","exchange","symbol","price","size","primary exchange"
"2","B","A",42.8581451129032,7313,"N"
"4","C","A",42.8599985,262,"N"
"7","D1","A",42.8685748813559,32441,"N"
"10","D2","A",42.83125,1695,"N"
"13","J","A",42.8575929814815,6100,"N"
"16","K","A",42.8770583529412,1800,"N"
"19","N","A",42.8670345103448,59323,"N"
"22","P","A",42.8690468095238,3431,"N"
"25","Q","A",42.8736020645161,11600,"N"
"27","W","A",42.866666,600,"N"
"29","X","A",42.881249875,900,"N"
"31","Y","A",42.8654759047619,2300,"N"
"34","Z","A",42.8645057252747,11300,"N"
"37","B","AA",8.40972795497186,195822,"N"
"42","D1","AA",8.40968021108179,354651,"N"
"45","D2","AA",8.41020912547529,676948,"N"
"48","J","AA",8.40851388888889,112361,"N"
"51","K","AA",8.4130078125,48733,"N"
"54","N","AA",8.41128187919463,262312,"N"
"57","P","AA",8.40890845070422,35040,"N"
"60","Q","AA",8.41227011494253,86554,"N"
"63","W","AA",8.41227272727273,9214,"N"
"66","X","AA",8.4115,2200,"N"
"69","Y","AA",8.41095890410959,34708,"N"
"72","Z","AA",8.40993670886076,106237,"N"
"74","D1","AAIT",28.416,100,"Q"
"76","D2","AAIT",28.42,100,"Q"
"82","B","AAN",27.6446155384615,1405,"N"
"84","C","AAN",27.6350005,200,"N"
"87","D1","AAN",27.6251124,2815,"N"
"90","D2","AAN",27.66,200,"N"
"92","J","AAN",27.62750025,434,"N"
"95","K","AAN",27.633333,300,"N"
"99","N","AAN",27.6323077692308,3178,"N"
"102","P","AAN",27.62760032,3200,"N"
"105","Q","AAN",27.6314284285714,700,"N"
"107","W","AAN",27.6200003333333,600,"N"
"110","Y","AAN",27.6240002,500,"N"
"113","Z","AAN",27.62687525,825,"N"
"118","D1","AAON",28.14944975,400,"Q"
"120","D2","AAON",28.09,200,"Q"
"124","P","AAON",28.1949995,200,"Q"
"127","Q","AAON",28.1250001,2078,"Q"
"130","Z","AAON",28.1566663333333,300,"Q"
"133","B","AAP",81.228335,600,"N"
"137","D1","AAP",81.2040747906977,15826,"N"
"139","D2","AAP",81.18,800,"N"
"141","J","AAP",81.2266666666667,300,"N"
"143","K","AAP",81.15500075,400,"N"
"146","N","AAP",81.1771433095238,6124,"N"
"149","P","AAP",81.19249925,400,"N"
"152","Q","AAP",81.2060012,500,"N"
"155","X","AAP",81.269997,1000,"N"
"158","Y","AAP",81.290001,100,"N"
"161","Z","AAP",81.1990915454546,1200,"N"
"164","B","AAPL",406.009514725664,11761,"Q"
"169","D1","AAPL",406.041163925045,360350,"Q"
"172","D2","AAPL",405.905172413793,13287,"Q"
"175","J","AAPL",406.261382042553,10957,"Q"
"178","K","AAPL",406.024901320261,22276,"Q"
"181","P","AAPL",406.027789180258,27904,"Q"
"184","Q","AAPL",405.785849631579,83055,"Q"
"191","Y","AAPL",405.794470635294,8587,"Q"
"194","Z","AAPL",406.207283666667,16663,"Q"
"197","B","AAT",33.23,100,"N"
"199","C","AAT",33.23,100,"N"
"202","D2","AAT",33.25,100,"N"
"204","J","AAT",33.2475005,435,"N"
"208","N","AAT",33.2300006153846,1344,"N"
"212","Q","AAT",33.2349985,300,"N"
"216","Y","AAT",33.240002,100,"N"
"218","Z","AAT",33.240002,100,"N"
"225","D1","AAU",1.5925,3100,"A"
"231","P","AAU",1.59,243,"A"
"239","B","AAV",3.88447368421053,2600,"N"
"242","D1","AAV",3.89,600,"N"
"244","D2","AAV",3.88142857142857,1300,"N"
"249","N","AAV",3.89,700,"N"
"252","P","AAV",3.89,495,"N"
"255","Q","AAV",3.89,600,"N"
"258","X","AAV",3.8825,1200,"N"
"261","Y","AAV",3.885,100,"N"
"264","Z","AAV",3.895,1100,"N"
"267","B","AAWW",38.6823074615385,1300,"Q"
"269","C","AAWW",38.639999,100,"Q"
"272","D1","AAWW",38.6910636363636,2200,"Q"
"275","D2","AAWW",38.68,200,"Q"
"278","J","AAWW",38.6749995,200,"Q"
"280","K","AAWW",38.7033333333333,300,"Q"
"282","P","AAWW",38.694999625,800,"Q"
"285","Q","AAWW",38.6570835,5222,"Q"
"287","W","AAWW",38.720001,100,"Q"
"290","Y","AAWW",38.6763638181818,1100,"Q"
"292","Z","AAWW",38.69999975,400,"Q"
"294","B","AAXJ",58.9315386153846,1519,"Q"
"298","D1","AAXJ",58.8978632105263,4470,"Q"
"301","J","AAXJ",58.90000075,400,"Q"
"303","K","AAXJ",58.924999,781,"Q"
"306","P","AAXJ",58.955,244,"Q"
"309","Q","AAXJ",58.9106672666667,2790,"Q"
"312","Y","AAXJ",58.9333346666667,300,"Q"
"315","Z","AAXJ",58.900002,200,"Q"
"318","B","AB",22.75,745,"N"
"321","D1","AB",22.7591292857143,1500,"N"
"323","D2","AB",22.7533333333333,500,"N"
"327","N","AB",22.7466666666667,600,"N"
"329","P","AB",22.746,500,"N"
