"","exchange","symbol","price","size","primary exchange"
"3","B","A",42.778398918429,35132,"N"
"5","C","A",42.674,500,"N"
"8","D1","A",42.7897876830046,781542,"N"
"11","D2","A",42.7615050167224,223500,"N"
"14","J","A",42.7543146954315,20790,"N"
"17","K","A",42.7720560490654,49423,"N"
"20","N","A",42.8042612755682,171396,"N"
"23","P","A",42.7545802535714,96506,"N"
"26","Q","A",42.7723312539877,216368,"N"
"28","W","A",42.8292217888889,11400,"N"
"30","X","A",42.8026317578947,13186,"N"
"32","Y","A",42.7901539692308,7000,"N"
"35","Z","A",42.7969131607397,85953,"N"
"38","B","AA",8.34283886255924,675282,"N"
"40","C","AA",8.28805555555556,15203,"N"
"43","D1","AA",8.34656244198501,4802601,"N"
"46","D2","AA",8.33712109525646,2249036,"N"
"49","J","AA",8.34096592637663,794898,"N"
"52","K","AA",8.31696428571429,524204,"N"
"55","N","AA",8.35028931572629,975537,"N"
"58","P","AA",8.34218023255814,284495,"N"
"61","Q","AA",8.31819874147876,920621,"N"
"64","W","AA",8.36628,59082,"N"
"67","X","AA",8.3055900621118,51712,"N"
"70","Y","AA",8.36035995500562,197900,"N"
"73","Z","AA",8.33079006772009,789065,"N"
"75","D1","AAIT",28.41904975,1040,"Q"
"77","D1","AAME",3.3918,758,"Q"
"78","D2","AAME",3.42,300,"Q"
"79","K","AAME",3.42,586,"Q"
"80","Z","AAME",3.41,100,"Q"
"83","B","AAN",27.7476414528302,5300,"N"
"85","C","AAN",27.76,100,"N"
"88","D1","AAN",27.7401391820128,56484,"N"
"91","D2","AAN",27.7582442748092,15000,"N"
"93","J","AAN",27.8728570952381,4300,"N"
"96","K","AAN",27.7438170758929,23506,"N"
"97","M","AAN",27.77,100,"N"
"100","N","AAN",27.7607692596154,28950,"N"
"103","P","AAN",27.7681871929825,18801,"N"
"106","Q","AAN",27.7692086690647,14633,"N"
"108","W","AAN",27.7978572857143,1400,"N"
"109","X","AAN",27.7569998,1200,"N"
"111","Y","AAN",27.7780434347826,4600,"N"
"114","Z","AAN",27.8614183191489,14917,"N"
"115","B","AAON",27.972501,400,"Q"
"116","C","AAON",28.15,100,"Q"
"119","D1","AAON",28.0717055636364,9442,"Q"
"121","D2","AAON",28.0423076923077,1600,"Q"
"122","J","AAON",28.05,300,"Q"
"123","K","AAON",28.1116665,1900,"Q"
"125","P","AAON",28.1360004666667,2619,"Q"
"128","Q","AAON",28.0832146785714,3500,"Q"
"129","Y","AAON",28.07749975,400,"Q"
"131","Z","AAON",27.86374975,960,"Q"
"134","B","AAP",81.0541913535354,32384,"N"
"135","C","AAP",80.940001,500,"N"
"138","D1","AAP",80.9831744372331,199477,"N"
"140","D2","AAP",81.0525842696629,24296,"N"
"142","J","AAP",81.026818,1215,"N"
"144","K","AAP",81.1613515405405,13195,"N"
"147","N","AAP",81.0833512574257,27576,"N"
"150","P","AAP",81.0368493835616,34788,"N"
"153","Q","AAP",81.0708186,25472,"N"
"154","W","AAP",81.0738092380952,2100,"N"
"156","X","AAP",80.8994117647059,1800,"N"
"159","Y","AAP",80.9683671836735,5315,"N"
"162","Z","AAP",81.0765876418919,16487,"N"
"165","B","AAPL",405.380186481201,385534,"Q"
"167","C","AAPL",405.057884230769,5495,"Q"
"170","D1","AAPL",405.098739166165,10752114,"Q"
"173","D2","AAPL",404.988388529887,580448,"Q"
"176","J","AAPL",405.181275677017,331072,"Q"
"179","K","AAPL",405.011204799888,927250,"Q"
"182","P","AAPL",404.994487750133,1322190,"Q"
"185","Q","AAPL",404.944415322377,1411640,"Q"
"187","W","AAPL",405.336250375,1000,"Q"
"189","X","AAPL",402.684438111111,1400,"Q"
"192","Y","AAPL",405.521861458146,119324,"Q"
"195","Z","AAPL",404.824800842354,725723,"Q"
"198","B","AAT",33.05958325,2500,"N"
"201","D1","AAT",33.0246827852349,22113,"N"
"203","D2","AAT",33.0942105263158,2000,"N"
"205","J","AAT",33.058749625,800,"N"
"206","K","AAT",32.9453843076923,1556,"N"
"209","N","AAT",33.17239989,11324,"N"
"210","P","AAT",33.0295453333333,3400,"N"
"213","Q","AAT",33.0841182352941,1700,"N"
"214","W","AAT",33.2033333333333,300,"N"
"215","X","AAT",32.939999,100,"N"
"217","Y","AAT",33.066364,1100,"N"
"219","Z","AAT",33.1740219130435,5659,"N"
"220","A","AAU",1.56480952380952,4020,"A"
"222","B","AAU",1.56428571428571,1600,"A"
"223","C","AAU",1.6,100,"A"
"226","D1","AAU",1.57510909090909,34712,"A"
"228","D2","AAU",1.574,18689,"A"
"229","J","AAU",1.56904761904762,3125,"A"
"230","K","AAU",1.56166666666667,23991,"A"
"232","P","AAU",1.5487037037037,23864,"A"
"233","Q","AAU",1.56222222222222,8500,"A"
"234","W","AAU",1.555,200,"A"
"235","X","AAU",1.57,100,"A"
"236","Y","AAU",1.561,2700,"A"
"238","Z","AAU",1.56325,3800,"A"
"240","B","AAV",3.84556390977444,25800,"N"
"241","C","AAV",3.89,300,"N"
"243","D1","AAV",3.81650642857143,53089,"N"
"245","D2","AAV",3.85835616438356,61119,"N"
"246","J","AAV",3.83142857142857,9091,"N"
"247","K","AAV",3.81,21612,"N"
"250","N","AAV",3.81311475409836,25988,"N"
"253","P","AAV",3.81454545454545,8850,"N"
"256","Q","AAV",3.81221052631579,19441,"N"
"257","W","AAV",3.8,200,"N"
"259","X","AAV",3.84833333333333,4200,"N"
"262","Y","AAV",3.81153846153846,6100,"N"
"265","Z","AAV",3.8064880952381,12300,"N"
"268","B","AAWW",38.7540815306122,42800,"Q"
"270","C","AAWW",38.6100005,200,"Q"
"273","D1","AAWW",38.7895587962963,18500,"Q"
"276","D2","AAWW",38.7935555555556,13900,"Q"
"279","J","AAWW",38.7375004166667,1300,"Q"
"281","K","AAWW",38.6575000967742,12662,"Q"
"283","P","AAWW",38.7239582777778,10150,"Q"
"286","Q","AAWW",38.6735077015707,21197,"Q"
"288","W","AAWW",38.7020004,500,"Q"
"289","X","AAWW",38.8600006666667,300,"Q"
"291","Y","AAWW",38.7947368421053,2200,"Q"
"293","Z","AAWW",38.7401516060606,3800,"Q"
"295","B","AAXJ",58.9583332222222,1800,"Q"
"296","C","AAXJ",58.860001,100,"Q"
"299","D1","AAXJ",58.8993699193548,31692,"Q"
"300","D2","AAXJ",58.8978260869565,3757,"Q"
"302","J","AAXJ",59.029999,491,"Q"
"304","K","AAXJ",58.92208325,5100,"Q"
"307","P","AAXJ",58.8661956195652,21665,"Q"
"310","Q","AAXJ",58.9288891587302,19541,"Q"
"311","X","AAXJ",59.040001,200,"Q"
"313","Y","AAXJ",59.0116665,900,"Q"
"316","Z","AAXJ",58.9373864772727,9469,"Q"
