Row Labels;B;C;D;J;K;M;P;Q;W;X;Y;Z
FRI;;;;;;;252;;;;100;
ACWV;;;1000;;;;;;;;;100
AGEM;;;250;;;;;;;;;
AGG;;;11468;;;;2128;;;;;
AGQ;200;;32307;;1200;;13499;4650;;;;700
AGZ;;;100;;;;;;;;;
ALD;;;200;;;;;;;;;
AMJ;200;;22387;200;400;;4028;2900;;;;700
AMLP;600;;39771;200;500;;6774;400;;;200;1200
AMU;;;200;377;;;100;;;;;
AOA;;;;;;;1200;;;;;400
AOK;;;300;;;;;;;;;101
AOM;;;;;;;205;;;;;
AOR;;;380;;;;;;;;;
BAB;;;2800;;;;400;;;;200;
BABZ;;;180;;;;;;;;;
BAL;;;4900;;1400;;;;;;;
BBH;;;31369;200;1282;;10408;4350;;;;200
BDCL;;;4142;;;;;;;;;
BDCS;;;500;;;;;600;;;;
BIK;;;2500;;;;400;;;;;600
BIL;;;100;;;;100;;;;;
BIV;;;1491;;;;500;;;;;
BKF;;;977;;200;;8750;;;;;146
BKLN;;;21498;300;;;700;9720;;;;
BLV;;;700;;;;1323;;;;;
BND;;;7610;;;;;100;;;;
BNO;;;278;;;;;300;;;;
BOIL;;;325;;;;;;;;;
BOND;100;;2107;750;;;5087;;;;;
BONO;;;2226;;;;;;;;;
BRAQ;;;;;;;3000;;;;;
BRF;200;;;100;100;;1200;;;;;100
BRXX;;;;;;;;;;;;100
BSCE;;;8201;;;;;;;;;
BSCF;;;;;;;324;;;;;
BSCG;;;;;;;2000;1800;;;;1200
BSCH;;;234;;;;;;;;;
BSJE;;;570;;;;;;;;;
BSJF;;;100;;;;;;;;;
BSJG;;;1000;;;;100;;;;;200
BSJH;;;100;;700;;600;;;;;1100
BSV;2000;;5380;;;;204;;;;100;
BWX;;;1392;;;;1810;;;;;
BWZ;;;;;;;100;;;;;
BZQ;;;;;;;100;;;;;
CAFE;;;100;;;;;;;;;
CAPE;;;;;;;;334;;;;
CEW;;;225;;;;2100;;;;;
CFT;;;628;;;;1228;;;;100;
CGW;;;300;;;;340;;;;;
CHIQ;;100;300;500;;;4100;;;;;100
CIU;;;7510;100;;;;;;;;100
CLY;;;200;;;;;;;;;
CNPF;;;2000;;;;881;;;;;
COPX;;;300;;;;200;;;;;200
CORN;;;300;;;;100;;;;;
CORP;;;250;;;;;;;;;
CSD;;;;;;;147;;;;;
CSJ;100;;2161;;;;355;;;;;195
CSM;;;;;;;1000;;;;;
CURE;;;513;;;;100;;;;;
CUT;;;1923;;;;6857;;;;;100
CVOL;;;;;;;100;;;;;
CVY;100;;5030;;;;1373;100;;;;2301
CWB;;;12373;638;2300;;13300;;;;600;424
CWI;;;100;;;;;201;;;;100
DAG;200;;1411;300;;;;100;;;300;
DBA;;;1007;;400;;;;;;;
DBB;;;975;;;;1696;;;;;1000
DBC;100;;5820;100;5200;;1596;1300;100;600;200;4838
DBE;;;1570;;;;100;;;;;280
DBEF;;;1000;;;;1000;;;;;
DBJP;;;250;100;;;3000;;;;;
DBO;;;900;2600;;;300;500;;;500;1400
DBP;;;100;;;;100;;;;;
DBV;;;;;;;;;;100;;
DCNG;;;;;;;500;;;;;
DDM;;;4493;;;;400;300;;;;
DEM;;;3080;;;;2312;290;;;;100
DES;;;1736;;;;204;;;;;
DFJ;;;1563;;;;200;;;;;
DGAZ;;;16590;900;500;;1900;2100;;;400;
DGL;;;1300;;;;300;;;;;
DGLD;;;1145;;455;;;100;;;;
DGP;;;5595;;;;900;1134;;;;2034
DGS;;;100;;;;1500;500;;;;600
DGZ;;;1366;;100;;;;;;;
DHS;;;200;;100;;497;;;;;100
DIA;400;100;43182;1460;16079;;33634;18099;;100;200;19400
DIG;;;2212;;;;1597;103;;;;200
DIV;;;;;;;200;;;;;
DJP;;;777;;;;;;;;;
DLN;280;;418;;;;102;;;;;
DLS;;;355;;;;;;;;;
DOD;;;;;400;;;;;;;
DOG;;;8616;;770;;;800;;;;
DOL;;200;;;;;;;;;;
DON;;;300;;;;465;;;;;
DOO;;;513;;;;;;;;;
