"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"10","AAPL","D1","Early",1.71902813488924e-05,430.234747778011,0.0813948232916337,20771,"Q"
"13","AAPL","D2","Early",0.117081061508658,430.335578678651,0.120749352558389,517290,"Q"
"45","ABT","D1","Early",1.5676838077911e-06,35.5236300638277,0.0108225574232128,8200,"N"
"48","ABT","D2","Early",0.0145400819324312,35.5115901947022,0.0142382122221447,73785,"N"
"85","ACN","D1","Early",4.80369285300926e-06,76.4114817866573,0.0399997852466725,3950,"N"
"88","ACN","D2","Early",0.0382474102551424,76.4993108435522,0.044682563105716,14170,"N"
"123","AEP","D2","Early",0.0145860399518694,48.58460017613,0.0189282553536551,5347,"N"
"159","AIG","D1","Early",3.46525934816317e-06,38.7832449410708,0.0298473853191347,36945,"N"
"162","AIG","D2","Early",0.0276357082420504,38.7847300870184,0.0261466313449901,256209,"N"
"202","ALL","D2","Early",0.0360325707329644,49.6046498616536,0.0455553266737196,2688,"N"
"237","AMGN","D1","Early",2.90643601190476e-06,103.209048679897,0.0609523228236607,3650,"Q"
"240","AMGN","D2","Early",0.0757072262647675,103.117473602295,0.0868295809117759,13688,"Q"
"274","AMZN","D1","Early",4.69501201923077e-06,263.051731989934,0.137305626502404,3100,"Q"
"277","AMZN","D2","Early",0.164342458624589,263.041324173777,0.179527041786595,35032,"Q"
"307","APA","D1","Early",6.24223188920455e-06,76.6159078424627,0.0354551835493608,1300,"N"
"310","APA","D2","Early",0.0516290826312566,76.570068941278,0.0552544674630892,23883,"N"
"345","APC","D1","Early",3.42007341056034e-06,85.8753443750842,0.0658624583277209,3500,"N"
"348","APC","D2","Early",0.0550738892268613,85.8515715885683,0.0639887742006062,37682,"N"
"383","AXP","D1","Early",5.24520874023438e-06,67.4193747838338,0.0283338228861491,23900,"N"
"386","AXP","D2","Early",0.0221796950248823,67.433933832874,0.0242465293570741,21439,"N"
"422","BA","D1","Early",6.17617652529762e-06,84.9264304751442,0.0509545462472098,3441,"N"
"425","BA","D2","Early",0.0532968044281006,84.8976412500654,0.0509392533983503,61617,"N"
"460","BAC","D1","Early",3.28576865316439e-07,12.2206933919121,0.00970577592609309,122289,"N"
"463","BAC","D2","Early",0.00955490047533242,12.2202392642896,0.00997312117943921,1480731,"N"
