"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"4","AAPL","B","Early",0.0960155286287007,430.029098510742,0.128044988875999,29262,"Q"
"7","AAPL","C","Early",0.0816701253255208,429.931671142578,0.0916595458984375,600,"Q"
"13","AAPL","J","Early",0.0883187918827451,430.510862021611,0.116420745849609,26869,"Q"
"16","AAPL","K","Early",0.0829411628338279,429.511306536304,0.125667040001391,57581,"Q"
"19","AAPL","P","Early",0.0849652757831648,430.144724341,0.11718189015108,102531,"Q"
"22","AAPL","Q","Early",0.0751888427734375,429.788314208984,0.109360636393229,107847,"Q"
"25","AAPL","W","Early",0.164993286132812,432.880004882812,0.164993286132812,200,"Q"
"27","AAPL","Y","Early",0.0872759137834821,429.342562161959,0.107469831194196,10110,"Q"
"30","AAPL","Z","Early",0.065989454253381,429.831670039842,0.113867944028197,55913,"Q"
"36","ABT","B","Early",0.0185715811593192,35.5199999128069,0.0214282444545201,700,"N"
"39","ABT","C","Early",3.814697265625e-06,35.5499992370605,0.0200004577636719,100,"N"
"45","ABT","J","Early",0.00681946494362571,35.4725001942028,0.00999988209117543,2356,"N"
"48","ABT","K","Early",0.016190665108817,35.4865474700928,0.011666252499535,10006,"N"
"51","ABT","N","Early",0.0116127178233157,35.4904300730716,0.0126878061602193,44680,"N"
"54","ABT","P","Early",0.0104610736553486,35.4816920940693,0.0132299569936899,11178,"N"
"57","ABT","Q","Early",0.00926284790039062,35.4843156513415,0.01305200677169,18324,"N"
"60","ABT","W","Early",0.00999832153320312,35.5200004577637,0.00999832153320312,100,"N"
"63","ABT","X","Early",0.0199966430664062,35.4000015258789,0.0199966430664062,100,"N"
"65","ABT","Y","Early",0.0133323669433594,35.5366668701172,0.0133323669433594,400,"N"
"68","ABT","Z","Early",0.00799974714006696,35.4982854570661,0.011427743094308,4523,"N"
"74","ACN","B","Early",0.0500030517578125,76.5500008719308,0.0614275251116071,700,"N"
"77","ACN","C","Early",0.0233306884765625,76.5066655476888,0.0433349609375,529,"N"
"82","ACN","J","Early",0.0300064086914062,76.4499969482422,0.0300064086914062,100,"N"
"85","ACN","K","Early",0.0213501388962204,76.496756476325,0.0375673448717272,3881,"N"
"88","ACN","N","Early",0.0416925283578726,76.4047688410832,0.0512304452749399,12577,"N"
"91","ACN","P","Early",0.0365965822909741,76.4244678578478,0.0425523798516456,5955,"N"
"94","ACN","Q","Early",0.0230795053335337,76.4655127892127,0.0402558155548878,4121,"N"
"97","ACN","W","Early",0.029998779296875,76.3600006103516,0.029998779296875,100,"N"
"100","ACN","Y","Early",0.0344433254665799,76.4344431559245,0.0522215101453993,900,"N"
"103","ACN","Z","Early",0.024287850516183,76.4764280046736,0.0445707048688616,4100,"N"
"115","AEP","J","Early",0.00999832153320312,48.5900001525879,0.00999832153320312,200,"N"
"118","AEP","K","Early",0.00800018310546875,48.5980003356934,0.01199951171875,2300,"N"
"121","AEP","N","Early",0.008001708984375,48.6120010375977,0.0120010375976562,705,"N"
"124","AEP","P","Early",0.0126090671705163,48.6169567937436,0.0178255827530571,2525,"N"
"127","AEP","Q","Early",0.0117396479067595,48.5986961696459,0.0143485691236413,2314,"N"
"136","AEP","Z","Early",0.00652313232421875,48.5960875801418,0.0134784864342731,2300,"N"
"142","AIG","B","Early",0.0415379450871394,38.7419226719783,0.0484619140625,3600,"N"
"145","AIG","C","Early",0.0100000821627103,38.8415377690242,0.0100000821627103,2794,"N"
"151","AIG","J","Early",0.0188459249643179,38.7638460306021,0.0196150266207181,3400,"N"
"154","AIG","K","Early",0.0105703482356096,38.7952850816163,0.0115027551206282,33909,"N"
"157","AIG","N","Early",0.0362944830031622,38.7350347114332,0.040476216898336,52810,"N"
"160","AIG","P","Early",0.0134352808413298,38.7728803385859,0.0179782369862432,71251,"N"
"163","AIG","Q","Early",0.0175279708805999,38.7809594354946,0.0224722689808075,41045,"N"
"166","AIG","W","Early",0.0209093960848722,38.8354551141912,0.0263644131747159,1400,"N"
"169","AIG","X","Early",0.0488870408799913,38.5299992031521,0.0488870408799913,1400,"N"
"172","AIG","Y","Early",0.0187756285375478,38.8077551394093,0.0204081632653061,8827,"N"
