"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"12","AAPL","D1","Midday",1.64079447548297e-05,431.971309719323,0.0934377694020649,265564,"Q"
"15","AAPL","D2","Midday",0.102618766521014,433.084779726454,0.114115750197367,5689007,"Q"
"47","ABT","D1","Midday",3.04837073390677e-06,35.8666627187443,0.00962637373133584,2228444,"N"
"50","ABT","D2","Midday",0.00970259309812737,35.89610126867,0.00990119745071253,1868116,"N"
"87","ACN","D1","Midday",4.91166979537727e-06,76.7735038026009,0.0150129585068461,151238,"N"
"90","ACN","D2","Midday",0.0124310543255581,76.7489310591824,0.0125795858376412,651622,"N"
"122","AEP","D1","Midday",2.2862277330486e-06,48.4050849532433,0.00996588689159659,206289,"N"
"125","AEP","D2","Midday",0.0116396834351463,48.4071356967864,0.009844876309935,520694,"N"
"161","AIG","D1","Midday",2.36589647409282e-06,38.9137303401845,0.00972670915880488,636859,"N"
"164","AIG","D2","Midday",0.0110184824987719,38.8964882466032,0.00986910552698977,2235591,"N"
"201","ALL","D1","Midday",2.07220699385428e-06,49.7258234545751,0.00991819828292212,273263,"N"
"204","ALL","D2","Midday",0.012012997602665,49.7318370436529,0.00988535402839027,319341,"N"
"239","AMGN","D1","Midday",5.15459093166366e-06,105.507853911714,0.0187614360924317,226406,"Q"
"242","AMGN","D2","Midday",0.023076350093713,105.546467554421,0.0212391904823011,1018858,"Q"
"276","AMZN","D1","Midday",1.46126514149023e-05,263.715049221772,0.0878837660003563,45309,"Q"
"279","AMZN","D2","Midday",0.0889010959201389,263.648416487544,0.104394961833113,519323,"Q"
"309","APA","D1","Midday",5.52633534307065e-06,76.1889523912513,0.0121307704759681,174918,"N"
"312","APA","D2","Midday",0.0152759257465197,76.2686027916001,0.014595228096119,388804,"N"
"347","APC","D1","Midday",5.48333188119579e-06,85.7680051725593,0.0154029628748935,255685,"N"
"350","APC","D2","Midday",0.0174679976243239,85.7206830420861,0.0168847891000601,396194,"N"
"385","AXP","D1","Midday",5.84248697169202e-06,67.4257516609131,0.00994287046307674,120686,"N"
"388","AXP","D2","Midday",0.0109342923728369,67.4338487358503,0.0103441764804197,569833,"N"
"424","BA","D1","Midday",6.12949808315596e-06,84.7178520875819,0.0133520427503084,334456,"N"
"427","BA","D2","Midday",0.0140558613355452,84.6475147274595,0.0137129887068229,734873,"N"
"462","BAC","D1","Midday",6.93894171248941e-07,12.1886098933375,0.00976664523510966,6214636,"N"
"465","BAC","D2","Midday",0.00934978135492345,12.190692343921,0.00997589142396703,30464300,"N"
"503","BAX","D1","Midday",5.66262330816662e-06,72.2723336939267,0.0120707041764303,319593,"N"
"506","BAX","D2","Midday",0.0134296033731679,72.2733309639738,0.0124908152984506,475334,"N"
"541","BK","D1","Midday",1.57936540230241e-06,28.0454333080817,0.00970220061206313,249494,"N"
"544","BK","D2","Midday",0.0101891933527208,28.035564742411,0.00972170220281845,522102,"N"
"581","BMY","D1","Midday",5.47464036624342e-06,41.5946307932987,0.00967315665369816,576034,"N"
"584","BMY","D2","Midday",0.00947070774085719,41.5918054466762,0.0098747069665692,1719215,"N"
"621","BRK.B","D1","Midday",5.30439236330096e-06,104.803294792907,0.015066221912742,199898,"N"
"624","BRK.B","D2","Midday",0.0165018919182896,104.839934044671,0.0178578654949848,809168,"N"
"659","C","D1","Midday",2.63922585499599e-06,44.1765182865311,0.00901572849254534,743776,"N"
