"","symbol","exchange","timegrp","effectiveSpread","price","spread","size","primary exchange"
"6","AAPL","B","Midday",0.0920403583629711,433.160348686012,0.120675924661997,246310,"Q"
"9","AAPL","C","Midday",0.104289826892671,433.505238487607,0.149761018298921,8700,"Q"
"15","AAPL","J","Midday",0.093575859635803,432.895834518116,0.12704028573871,152321,"Q"
"18","AAPL","K","Midday",0.0697609168256638,433.508621453963,0.104586448007925,553882,"Q"
"21","AAPL","P","Midday",0.0828109769117684,433.275123613246,0.110079279471112,731441,"Q"
"24","AAPL","Q","Midday",0.0721951632908217,433.181456613447,0.0978265447451121,802943,"Q"
"26","AAPL","W","Midday",0.1099853515625,435.390014648438,0.1099853515625,100,"Q"
"29","AAPL","Y","Midday",0.0887976493544251,433.063645457493,0.116240173805761,56531,"Q"
"32","AAPL","Z","Midday",0.0744272674783303,433.329052716555,0.106376525433394,457049,"Q"
"38","ABT","B","Midday",0.00976632412655914,35.9359408257779,0.0098646898257923,91962,"N"
"41","ABT","C","Midday",0.0113337198893229,35.910666402181,0.0100001017252604,1800,"N"
"47","ABT","J","Midday",0.00937084088603398,35.8813365226979,0.00954655692270792,149102,"N"
"50","ABT","K","Midday",0.00845362698590314,35.8875738532455,0.00850906018857603,167906,"N"
"53","ABT","N","Midday",0.00976870297130438,35.8541341629937,0.00978920234475119,1160442,"N"
"56","ABT","P","Midday",0.00830902672125115,35.8522809948073,0.0092821831674664,356155,"N"
"59","ABT","Q","Midday",0.00866535366989496,35.862409330353,0.00949198354886273,429571,"N"
"62","ABT","W","Midday",0.00988484525132453,35.963448140813,0.00988484525132453,12300,"N"
"64","ABT","X","Midday",0.00961994219429885,35.8715190163142,0.00961994219429885,9344,"N"
"67","ABT","Y","Midday",0.00986524618972756,35.9095737189277,0.00991009881856374,79146,"N"
"70","ABT","Z","Midday",0.00844126248742724,35.8768822773094,0.00943102652333997,356412,"N"
"76","ACN","B","Midday",0.0121051888716848,76.7672370609484,0.0131573426096063,15605,"N"
